key,value,reference value,description
not_supported_for_moving_out_resource,申し訳ありませんが、現在この操作はできません。しばらくしてからもう一度お試しいただくか、お問い合わせください。,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,資格情報が正しくないため、ログインに失敗しました。,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,ReCAPTCHAの検証に失敗しました。再試行,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,パスワードは8文字以上である必要があります,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,おっとっと！このURLは期限切れか無効のようです。,Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,カスタマーポータルへのアクセスが無効になっています。,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,おっとっと！返品またはキャンセルのURLが無効です。,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,APIを介したカスタマーポータルへのアクセスは無効になっています。,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,メールIDを確認してください。このサインアップは、あなたがすでにこのサービスの「サブスクライバー」である場合にのみ機能します。,"Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,新しいパスワードは現在のパスワードであってはなりません,New password should not be the current password,New password should not be the current password
subscription_canceled ,これはキャンセルされたサブスクリプションです。詳しくはお問い合わせください。,This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,このリクエストでは、ポータルセッションのアクティブ化はサポートされていません。,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,パスワードには、少なくとも1つの大文字、小文字、および数字が含まれている必要があります,"Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,カスタマーポータルアカウントはまだ設定されていません。 「サインアップ」オプションを使用して開始します。,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,資格情報が正しくないため、ログインに失敗しました。,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,メールアドレスを確認していません。 「サインアップ」オプションを使用して開始します。,You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,無効なワンタイムパスワード,Invalid one time password,Invalid one time password
account_locked_error,セキュリティ上の理由により、アカウントがロックされています。,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,ポータルトークンの有効期限が切れているか、無効です。,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,メールアドレスの更新はできません。,Email address is not allowed to be updated.,Email address is not allowed to be updated.
