key,value,reference value,description
sub_start_outside_plan_term,サブスクリプションの開始日を請求期間より前にすることはできません。,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,cancelled_at date（{0}）以降にすることはできません。,cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,割引の問題。詳細については、サポートにお問い合わせください。,Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,試用期間は開始日より前にすることはできません,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,サブスクリプションは、現在の期間の終了時にキャンセルされる予定であるため、更新できません。,Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,サブスクリプションは、トライアルおよびアクティブ状態でのみ更新できます,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,{0}サブスクリプションの場合は空白にすることはできません,cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,サブスクリプションが一時停止または一時停止するようにスケジュールされている場合、キャンセルをスケジュールすることはできません。,Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,{0}は{2}経由で{1}口座振替を使用するために必須です,{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,少なくとも1つの非定期的なアドオンまたは課金アイテムが存在する必要があります,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,カード一時トークンアプローチは、このゲートウェイではサポートされていません,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
non_compliant_eu_customer,お客様が請求先住所に入力したEUの国が、IPアドレスまたはカードのビン番号と照合できないため、操作に失敗しました。,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,有効な支払い方法がないため、サブスクリプションを再開できません。,Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
no_creditcard_for_create,有効なカードが登録されていないため、サブスクリプションを作成できません,Cannot create the subscription as there is no valid card on file,Cannot create the subscription as there is no valid card on file
invalid_state_for_cancel,すでにキャンセルまたは期限切れになっているサブスクリプションをキャンセルすることはできません,Cannot cancel a subscription that is Cancelled or Expired already,Cannot cancel a subscription that is Cancelled or Expired already
invalid_state_for_collect,この操作は、payment_due / not_paidステータスの1つ以上の請求書でのみサポートされます。,This operation is supported only for the invoices in payment_due/not_paid status,This operation is supported only for the invoices in payment_due/not_paid status
resume-subscription.invalid_resume_date,pause_date（{0}）以前にすることはできません。,cannot be on or before pause_date ({0}).,cannot be on or before pause_date ({0}).
charge_failed,支払いの回収に失敗しました。理由：{0},Payment collection failed. Reason: {0},Payment collection failed. Reason: {0}
charge_item_not_supported_eot,期間終了時に変更されるサブスクリプションに課金項目を追加することはできません。,Charge item cannot be added to a subscription changing at end of term.,Charge item cannot be added to a subscription changing at end of term.
charge_item_not_supported,請求書がすぐに発行されないため、請求項目を追加できません。,Charge item cannot be added now as invoice is not raised immediately.,Charge item cannot be added now as invoice is not raised immediately.
invalid_term_end_date,日付は今日より前であってはなりません,The date should not be prior to today,The date should not be prior to today
