key,value,reference value,description
invalid_column,列（{0}）の値{1}が無効です,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,列{0}が無効です。,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,このフィールドを選択するには、請求国を追加する必要があります。,You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,請求国はVAT番号を検証する必要がありました。,Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,このフィールドを選択するには、オーストラリアの税を有効にする必要があります,You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,ファイルに無効な値が含まれています,File contains invalid values,File contains invalid values
unable_to_validate_abn,ABNルックアップサーバーがダウンしているため、ABNを処理できません。,Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,ヘッダーが存在しないか、正しくフォーマットされていません。,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,ファイルに税法が含まれていません,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,サポートされていないファイル形式。 CSVファイルのみが許可されます,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,この税プロファイルは、すでに製品タイプ{0}にマッピングされています。プロファイルにマップできる製品タイプは1つだけです。,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,（{0}）の値が無効です,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,税設定ファイルが見つかりません,Tax configuration file not found,Tax configuration file not found
duplicate_column,列（{0}）がファイルに複数回表示されます。,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,有効なGSTINを入力する必要があります。,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,有効なABNを入力する必要があります。,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,この国にはVAT番号は適用されません,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,zip値を構成できません-{0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,無効な郵便番号,invalid zip/postal code,invalid zip/postal code
org_address_not_config,マーチャント税率を決定できなかったため、包括的税価格タイプを構成できません,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,このオプションはオーストラリアにのみ適用されます。,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,有効なVAT番号を入力する必要があります。,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,VIESでダウンタイムが発生しているため、VAT番号を検証できません。,Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,ワイルドカード文字をZIP + 4郵便番号と一緒に使用することはできません-{0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
