key,value,reference value,description
invoice.label.invoice_date,請求書の日付,Invoice Date,invoice date label
invoice.payment_succeeded,％{inv_amount}は％{inv_date}に支払われました,%{inv_amount} was paid on %{inv_date},The date at which the invoice was paid
invoice.label.payment_status.initiated,支払い開始,Payment Initiated,Payment initiated for an invoice text
invoice.branding.test_label,これは、Chargebeeによって生成されたサンプルの請求書です,This is a sample invoice generated by Chargebee,Logo in an invoice
invoice.label.invoice_amount,請求額,Invoice Amount,Invoice amount label
invoice.branding.cb_name,Chargebee,Chargebee,Compay name
invoice.label.payment_terms,支払い条件,Payment Terms,Net D payment terms label shown in invoice
invoice.label.tax.vat,VAT,VAT,VAT -  is the tax description
invoice.label.id,ID,ID,Subscription id label
invoice.label.include,インクルーシブデス,Includes,includes
invoice.header.label.unit_price,単価,Unit Price,Unit price is the heading under which the cost per unit of the product comes
invoice.label.tax.exclusive_of_vat,VAT独占,excl. VAT,VAT Exclusive - exclusive of taxes
invoice.payment_inprogress,％{inv_amount}の支払いは％{inv_date}に開始されました,%{inv_amount} payment was initiated on %{inv_date},indicates that the payment was initiated along with the date
invoice.payment_terms.net_prefix,ネット％{days},Net %{days},"To indicate the patment term prefix. Ex, Net 15, Net 30"
invoice.label.notes,ノート,Notes,Any invoice notes that need to be displayed
invoice.customer_email.request_card,お支払い方法の詳細を更新する,Update your payment method details,Email subject that prompts the customer to enter the payment method details
invoice.label.invoice,請求書,Invoice,Invoice number label
invoice.title.subscription,サブスクリプション,Subscription,Subscription sub heading
invoice.title.billed_to,に請求,Billed To,Billed to label - Under this comes the billing address of the customer
invoice.label.amount_due,料金,Amount Due,Amount that needs to be paid
invoice.label.payments,支払い,Payments,Payments made
invoice.label.cust_id,顧客ID,Customer ID,Customer id label
tax.rate.description,%{tax_name} @ %{rate},%{tax_name} @ %{rate},GST @ 5%
invoice.header.label.units,単位,Units,Heading under which the number of units of the product purchased comes
invoice.payment_terms.due_upon_receipt,受領時,Due Upon Receipt,To indicate the Zero net terms 
invoice.header.label.amount,量,Amount,The amount that needs to be paid
invoice.label.tax.inclusive_of_vat,包括的VAT,incl. VAT,VAT Inclusive -  inclusive of all taxes
invoice.header.label.description,説明,Description,Table heading under which the product description comes
invoice.label.due_date,期日,Due Date,Invoice Due date label
invoice.label.adjustments,調整,Adjustments,The adjustments made to the invoice 
invoice.label.sub_total,小計,Sub Total,Sub total
invoice.sub.billing_period,%{from_date} - %{to_date},%{from_date} to %{to_date},3rd sept to 22 Oct
invoice.label.tax_details,税の詳細,Tax Details,tax details label
invoice.label.credits,クレジット,Credits,The store credits used in the invoice
invoice.label.next_billing_date,次の請求日,Next Billing Date,Next billing date label
invoice.label.tax.tax,税金,Tax,tax
invoice.label.billing_period,支払請求周期,Billing Period,Billing period label
invoice.inclusive_tax_single_with_tax_in_loc_currency.desc,％{tax_description}％{total_amount}（％{tax_in_loc_currency}）を含む,Inclusive of %{tax_description} %{total_amount}(%{tax_in_loc_currency}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.vat_exemption_note,VAT免除ノート,VAT Exemption Note,"A label below which is a note, that describes why VAT has been excempted for the customer"
invoice.label.cust,お客様,Customer,Customer label
invoice.label.cust_vat,VAT,VAT,VAT number label
invoice.title.shipped_to,発送先,Shipped To,Shipped to label - Under this comes the shipping address of the customer
invoice.inclusive_tax_multi.desc,税込（％{total_amount}）,Inclusive of taxes (%{total_amount}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.label.vat_details,バットの詳細,Vat Details,VAT details label which is shown in vat incl invoices
invoice.label.total,合計,Total,Total
invoice.label.po_number,PO,PO,Purchase order number label
invoice.header.label.discounts,ディスカウント,Discount,Discount label
invoice.label.tax.exclusive,独占,Excl. ,Exclusive - exclusive of taxes
invoice.inclusive_tax_multi_with_tax_in_loc_currency.desc,税込％{total_amount}（％{tax_in_loc_currency}）,Inclusive of taxes %{total_amount}(%{tax_in_loc_currency}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.branding.powered_by,搭載,Powered by,Logo in an invoice - Powered by Chargebee
invoice.inclusive_tax_single.desc,％{tax_description}を含む（％{total_amount}）,Inclusive of %{tax_description} (%{total_amount}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.round_off,四捨五入,Round Off,Round off - invoice amount is rounded off to a whole number
invoice.header.label.sub_total,小計,Sub Total,Sub total
invoice.label.transfer_details,転送の詳細,Transfer Details,Transfer Details label
invoice.label.tax.inclusive,包括的,Incl. ,Inclusive -  inclusive of all taxes
invoice.header.label.price,価格,Price,Price is the heading under which the cost of the product comes
