key,value,reference value,description
portal.stripe_acc_status_reason.errored,銀行口座に送信された最近の送金に失敗しました。銀行口座は将来の支払いには使用できません,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments
portal.change_password.reenter_new_password,パスワードが一致していません,Passwords do not match,Passwords do not match
portal.change_password.new_password_not_same,新しいパスワードは現在のパスワードと同じです,New password is same as the current password,New password is same as the current password
portal.change_password.current_password.incorrect,あなたが与えたパスワードが間違っています,The password you gave is incorrect,The password you gave is incorrect
portal.stripe_acc_status_reason.verification_failed,Maxは、銀行口座が通過したことを確認しようとします,Max attempts to verify the bank account has been crossed,Max attempts to verify the bank account has been crossed
portal.account_details.address,住所,Address,Address Label
portal.stripe_acc_status_reason.validated,銀行口座はまだ確認されていません,The bank account is not yet verified,The bank account is not yet verified
portal.stripe_acc_status_reason.verified,銀行口座が確認されます,The bank account is verified,The bank account is verified
portal.stripe_acc_status_reason.new,銀行口座はまだ確認されていません,The bank account is not yet verified,The bank account is not yet verified
portal.change_password.recently_used,最近使用したパスワードは再利用できません,Recently used passwords cannot be reused again,Recently used passwords cannot be reused again
