key,value,reference value,description
account.first_name.label,ファーストネーム,First Name,
account.first_name.help,,,
account.last_name.label,苗字,Last Name,
account.last_name.help,,,
account.email.label,Eメール,Email,
account.email.help,,,
account.company.label,会社,Company,
account.company.help,,,
account.phone.label,電話,Phone,
account.phone.help,,,
billing.first_name.label,ファーストネーム,First Name,
billing.first_name.help,,,
billing.last_name.label,苗字,Last Name,
billing.last_name.help,,,
billing.email.label,Eメール,Email,
billing.email.help,,,
billing.phone.label,電話,Phone,
billing.phone.help,,,
billing.company.label,会社,Company,
billing.company.help,,,
billing.line1.label,住所1,Address Line1,
billing.line1.help,,,
billing.line2.label,住所2,Address Line2,
billing.line2.help,,,
billing.line3.label,アドレス行3,Address Line3,
billing.line3.help,,,
billing.city.label,市,City,
billing.city.help,,,
billing.zip.label,ジップ,Zip,
billing.zip.help,,,
billing.country.label,国,Country,
billing.country.help,,,
billing.region.label,状態,State,
billing.region.help,,,
billing.state_code.label,状態,State,
billing.state_code.help,,,
tax.vat_number.label,VAT番号,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,GSTに登録しました,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,ファーストネーム,First Name,
shipping.first_name.help,,,
shipping.last_name.label,苗字,Last Name,
shipping.last_name.help,,,
shipping.email.label,Eメール,Email,
shipping.email.help,,,
shipping.phone.label,電話,Phone,
shipping.phone.help,,,
shipping.company.label,会社,Company,
shipping.company.help,,,
shipping.line1.label,住所1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,住所2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,アドレス行3,Address Line3,
shipping.line3.help,,,
shipping.city.label,市,City,
shipping.city.help,,,
shipping.zip.label,ジップ,Zip,
shipping.zip.help,,,
shipping.country.label,国,Country,
shipping.country.help,,,
shipping.region.label,状態,State,
shipping.region.help,,,
shipping.state_code.label,状態,State,
shipping.state_code.help,,,
gift.first_name.label,ファーストネーム,First Name,
gift.first_name.help,,,
gift.last_name.label,苗字,Last Name,
gift.last_name.help,,,
gift.email.label,Eメール,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,誰からだと言うべきか,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,日付,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,時間,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,ファーストネーム,First Name,
card.first_name.help,,,
card.last_name.label,苗字,Last Name,
card.last_name.help,,,
card.number.label,数,Number,
card.number.help,,,
card.expiry.label,有効期限,Expiry,
card.expiry.help,,,
card.expiry_year.label,有効期限,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,住所1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,住所2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,市,City,
card.billing_city.help,,,
card.billing_zip.label,ジップ,Zip,
card.billing_zip.help,,,
card.billing_country.label,国,Country,
card.billing_country.help,,,
card.billing_region.label,状態,State,
card.billing_region.help,,,
card.billing_state_code.label,状態,State,
card.billing_state_code.help,,,
