key,value,reference value,description
exceeded_allowed_coupon_code_limit,쿠폰 세트당 {0} 개의 쿠폰 코드 만 허용됩니다.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,쿠폰을 찾을 수 없거나 해당 쿠폰이 없습니다.,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,이 구독에는 {0} 쿠폰이 적용되지 않았습니다.,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,업로드 중 오류가 발생했습니다. {0} 행에 중복 된 쿠폰 코드가 있습니다.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,{0} 쿠폰은 이미이 구독에 사용되었습니다.,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,일회성 쿠폰 만 지원되므로 {0} 쿠폰을 적용 할 수 없습니다.,Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,사용한 쿠폰 코드는 삭제할 수 없습니다.,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,지원되지 않는 파일 형식입니다. CSV 파일 만 허용됩니다.,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,소진 된 쿠폰 세트는 삭제할 수 없습니다.,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,전달 된 쿠폰 {0}은 (는) 이미 {1} 번 사용되었습니다. 더 이상 사용이 허용되지 않습니다.,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,{1} 행의 쿠폰 코드에 {0} 자 이상이 있습니다.,More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,해당 쿠폰이 없습니다.,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,다른 쿠폰에 대한 쿠폰 세트 이름이 이미 있습니다.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,하나 이상의 쿠폰에 적용 가능한 항목이 {0} 개 이상 있습니다. 자세한 내용은 support@chargebee.com으로 문의하십시오.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,쿠폰 적용 / 변경에 유효하지 않은 구독 상태,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,쿠폰 당 {0} 개의 쿠폰 세트 만 허용됩니다.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,사용한 쿠폰 코드를 보관할 수 없습니다.,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,이 쿠폰은이 구독에 적용 할 수 없습니다. 자세한 내용은 판매자에게 문의하세요.,This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,사용할 수있는 {0} 쿠폰이 없습니다.,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,{0} 쿠폰은 어떤 항목에도 적용 할 수 없으므로 적용 할 수 없습니다.,Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,파일에 쿠폰 코드가 없습니다.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,적용된 쿠폰 {0}은 (는) 이미 {1}에 만료되었습니다.,Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,이 구독에 적용된 쿠폰이 없습니다.,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,CSV 파일의 내용을 읽을 수 없습니다.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,잘못된 쿠폰 코드,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,이 쿠폰에는 쿠폰 코드가 적용되지 않습니다.,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,쿠폰 코드가 이미 있습니다. 중복 불가,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
