key,value,reference value,description
portal.stripe_acc_status_reason.errored,최근 은행 계좌로 송금하지 못했습니다. 은행 계좌는 향후 결제에 사용할 수 없습니다.,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments
portal.change_password.reenter_new_password,비밀번호가 일치하지 않습니다,Passwords do not match,Passwords do not match
portal.change_password.new_password_not_same,새 비밀번호는 현재 비밀번호와 동일합니다.,New password is same as the current password,New password is same as the current password
portal.change_password.current_password.incorrect,제공 한 비밀번호가 올바르지 않습니다.,The password you gave is incorrect,The password you gave is incorrect
portal.stripe_acc_status_reason.verification_failed,은행 계좌를 확인하려는 최대 시도 횟수가 초과되었습니다.,Max attempts to verify the bank account has been crossed,Max attempts to verify the bank account has been crossed
portal.account_details.address,주소,Address,Address Label
portal.stripe_acc_status_reason.validated,은행 계좌가 아직 확인되지 않았습니다.,The bank account is not yet verified,The bank account is not yet verified
portal.stripe_acc_status_reason.verified,은행 계좌가 확인되었습니다.,The bank account is verified,The bank account is verified
portal.stripe_acc_status_reason.new,은행 계좌가 아직 확인되지 않았습니다.,The bank account is not yet verified,The bank account is not yet verified
portal.change_password.recently_used,최근에 사용한 비밀번호는 다시 사용할 수 없습니다.,Recently used passwords cannot be reused again,Recently used passwords cannot be reused again
