key,value,reference value,description
quote.label.quote_amount,견적 금액,Quote Amount,Quote amount label
quote.label.recurring_charges,반복 청구,Recurring charges,Recurring charges
quote.label.tax.inclusive,포함한,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,단가,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,신청,Subscription,Subscription sub heading
quote.label.billing_cycle,결제주기,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,청구주기 수,No of billing cycles,No of billing cycles
quote.term.month,달,month,month
quote.header.label.sub_total,소계,Sub Total,Sub total
quote.term.months,개월,months,months
quote.label.quote_date,견적 날짜,Quote Date,quote date label
quote.label.chargeable_on_trial_start,평가판 시작시 청구,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,부가가치세 세부 사항,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,년,year,year
quote.title.subscription_detail,구독 정보,Subscription Details,Subscription Detail section heading
quote.label.include,Inclusivedes,Includes ,includes
quote.customer_email.request_card,결제 방법 세부 정보 업데이트,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,할인 및 세금 포함,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,배송지,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,가격,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,수락에 대한 비용,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,계획 활성화시 청구,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,결제 시작,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,형식 상 송장,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,형식 상 송장 날짜,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,조정,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12 번째 결제주기,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11 번째 결제주기,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10 번째 결제주기,10th billing cycle,10th billing cycle
quote.term.weeks,주,weeks,weeks
quote.billing_cycle.23,23 번째 결제주기,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22 번째 결제주기,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21 번째 결제주기,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20 번째 결제주기,20th billing cycle,20th billing cycle
quote.label.billing_frequency,청구 빈도,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16 번째 결제주기,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15 번째 결제주기,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14 번째 결제주기,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13 번째 결제주기,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19 번째 결제주기,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18 번째 결제주기,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17 번째 결제주기,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30 번째 결제주기,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34 번째 결제주기,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33 번째 결제주기,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32 번째 결제주기,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31 번째 결제주기,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27 번째 결제주기,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26 번째 결제주기,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25 번째 결제주기,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24 번째 결제주기,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29 번째 결제주기,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28 번째 결제주기,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41 번째 결제주기,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40 번째 결제주기,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45 번째 결제주기,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44 번째 결제주기,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43 번째 결제주기,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42 번째 결제주기,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,38 번째 결제주기,38th billing cycle,38th billing cycle
quote.billing_cycle.37,37 번째 결제주기,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36 번째 결제주기,36th billing cycle,36th billing cycle
quote.billing_cycle.35,35 번째 결제주기,35th billing cycle,35th billing cycle
quote.billing_cycle.39,39 번째 결제주기,39th billing cycle,39th billing cycle
quote.billing_cycle.52,52 번째 결제주기,52nd billing cycle,52nd billing cycle
quote.billing_cycle.51,51 번째 결제주기,51st billing cycle,51st billing cycle
quote.billing_cycle.50,50 번째 결제주기,50th billing cycle,50th billing cycle
quote.billing_cycle.56,56 번째 결제주기,56th billing cycle,56th billing cycle
quote.billing_cycle.55,55 번째 결제주기,55th billing cycle,55th billing cycle
quote.billing_cycle.54,54 번째 결제주기,54th billing cycle,54th billing cycle
quote.billing_cycle.53,53 번째 결제주기,53rd billing cycle,53rd billing cycle
quote.billing_cycle.49,49 번째 결제주기,49th billing cycle,49th billing cycle
quote.billing_cycle.48,48 번째 결제주기,48th billing cycle,48th billing cycle
quote.billing_cycle.47,47 번째 결제주기,47th billing cycle,47th billing cycle
quote.billing_cycle.46,46 번째 결제주기,46th billing cycle,46th billing cycle
quote.billing_cycle.63,63 번째 결제주기,63rd billing cycle,63rd billing cycle
quote.billing_cycle.62,62 번째 결제주기,62nd billing cycle,62nd billing cycle
quote.billing_cycle.61,61 번째 결제주기,61st billing cycle,61st billing cycle
quote.billing_cycle.60,60 번째 결제주기,60th billing cycle,60th billing cycle
quote.billing_cycle.67,67 번째 결제주기,67th billing cycle,67th billing cycle
