key,value,reference value,description
gift_order_confirmed.gift_receiver.email,Gavėjo elektroninis paštas,Recipient email,
contract_is_renewed.contract_term.contract_period,Sutarties laikas,Contract Period,
subscription_pause_reminder.subscription.resume_date,Tęsti datą,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Numatomas atnaujinimo mokestis,Estimated charge on renewal,
credit_note_updated.credit_note.id,Kreditinės pažymos numeris,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Mokėjimo būdas,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,Sutarties laikas,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,Mokėjimo diena,Payment date,
payment_one_time_failures.transaction.amount,Sąskaitos faktūros suma,Invoiced amount,
subscription_paused.subscription.resume_date,Tęsti datą,Resume date,
payments_and_credits_refunded.transaction.date,Grąžinta,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,Sąskaitos faktūros suma,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Pranešti apie,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
gift_cancelled.gift.scheduled_at,Pranešti apie,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Apskaičiuotas įjungimo mokestis,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,Mokėjimo diena,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,Kitas atnaujinimas įjungtas,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,Perviršiniai mokėjimai,Excess payments,
credit_note_adjustment_created.credit_note.status,Kredito pažymos būsena,Credit note status,
contract_is_renewed.contract_term.total_contract_value,Bendra sutarties vertė,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Sąskaitos faktūros suma,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,Grąžinta,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Grąžinami kreditai,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
order_shipment_reminder.order.shipping_date,Siuntimo data,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Atšaukimo priežastis,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,Bendra sutarties vertė,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Mokėjimo būdas,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Apskaičiuotas įjungimo mokestis,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Tęsti datą,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
payment_terms_netd_reminders.invoice.amount,Sąskaitos faktūros suma,Invoiced amount,
payment_one_time_failures.invoice.due_date,Terminas nuo,Due since,
welcome_mails_in_future_state.subscription.start_date,Prenumerata prasideda,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,Bandyta atlikti ankstesnį mokestį,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,Nesėkmės priežastis,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,Kitas atnaujinimas įjungtas,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,Nesumokėta viena ar daugiau sąskaitų faktūrų,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,Sąskaitos faktūros suma,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,Perviršiniai mokėjimai,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,Mokėjimo būdas,Payment method,
contract_is_terminated.contract_term.total_contract_value,Bendra sutarties vertė,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,Apskaičiuotas mokestis už kitą atnaujinimą,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,Sąskaitos faktūros suma,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,Pristabdyti datą,Pause date,
payment_authorization_succeeded.transaction.amount,Leidžiama suma,Authorized amount,
payment_dunning_profile_for_initial_attempt.transaction.amount,Sąskaitos faktūros suma,Invoiced amount,
payment_one_time_failures.customer_payment_method.info,Mokėjimo būdas,Payment method,
subscription_paused.subscription.pause_date,Pristabdyti datą,Pause date,
payment_authorization_succeeded.customer_payment_method.info,Mokėjimo būdas,Payment method,
credit_note_updated.credit_note.status,Kredito pažymos būsena,Credit note status,
subscription_changed_coupon_applied.coupon.coupons,Kuponai,Coupons,
payment_method_expiry_invalidated_notification.customer_payment_method.info,Mokėjimo būdas,Payment method,
direct_debit_payment_reminder_for_pad.transaction.statement_descriptor,Mokėjimai bus rodomi banko ataskaitoje kaip,Payments will appear in your bank statement as ,
welcome_mails_in_trial_state.subscription.trial_end,Bandomoji versija baigiasi,Trial ends on,
welcome_mails_in_active_state.subscription.next_estimate_amount,Apskaičiuotas mokestis už kitą atnaujinimą,Estimated charge on next renewal,
invoice_receipt.invoice.amount_due,Mokėtina suma,Amount due,
trial_expiry_reminders.subscription.next_estimate_amount,Apskaičiuotas įjungimo mokestis,Estimated charge on activation,
trial_extension_notification.subscription.trial_end,Bandomoji versija baigiasi,Trial ends on,
contract_is_renewed.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
subscription_expiry_and_cancellations_cancellation_followups.subscriptions.subscribed_to,Prenumeratos santrauka,Subscription summary,
future_subscription_reminders.subscription.start_date,Prenumerata prasideda,Subscription starts on,
trial_started_for_future_subscriptions.subscription.trial_end,Bandomoji versija baigiasi,Trial ends on,
payments_and_credits_payment_initiated.transaction.amount,Sąskaitos faktūros suma,Invoiced amount,
subscription_expiry_and_cancellations_reminder.customer_balance.account_credits,Reklaminiai kreditai,Promotional credits,
payment_offline_payments_profile_for_renewal_invoices.invoice.due_date,Terminas nuo,Due since,
contract_is_terminated.contract_term.contract_period,Sutarties laikas,Contract Period,
