key,value,reference value,description
error.column.base_money.numeric,turėtų būti skaičius,should be a number,
error.invalid_expiry_info,neteisinga galiojimo pabaigos informacija,invalid expiry info,
error.column.number.allow_negative,neturėtų būti neigiamas,should not be negative,
error.column.email.main, turėtų būti galiojantis el. paštas, should be a valid email,
error.column.number.range.min_max,turėtų būti %{min} ir %{max} diapazone,should be in the range %{min} & %{max},
error.column.base_money.range.max,neturėtų viršyti %{max},should not exceed %{max},
error.column.number.range.max,neturėtų viršyti %{max},should not exceed %{max},
error.column.string.length.min, turėtų turėti bent %{min} simbolių, should have atleast %{min} characters,
error.atleast_today,Šiandien turėtų būti mažiausiai,Should be atleast today,
error.column.base_money.range.min,turėtų būti bent %{min},should be atleast %{min},
error.invalid_cvv,negaliojantis CVV,invalid CVV,
error.column.base_money.main, netinkamas valiutos formatas, invalid currency format,
error.column.number.range.min,turėtų būti bent %{min},should be atleast %{min},
error.column.string.length.max, neturėtų būti daugiau nei %{max} simbolių, should not have more than %{max} characters,
error.presence,negali būti tuščias,cannot be blank,
error.wrong_format,Turėtų būti %{regex} formatas,Should be in %{regex} format,
error.column.string.length.fixed_length, turėtų sudaryti %{min} simbolių, should be of %{min} characters,
error.date_format,netinkamas datos formatas,invalid date format,
error.column.string.length.min_max, turėtų būti nuo %{min} iki %{max} simbolių, should be between %{min} and %{max} characters,
error.column.color.main,neteisingas šešiakampės spalvos kodas,invalid hex color code,
error.password.format,"Jūsų slaptažodis turi būti bent 8 simbolių ilgio, jame turi būti sveikas skaičius, abėcėlė ir specialus simbolis","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,dešimtainės reikšmės neleidžiamos,decimal values are not allowed,
error.column.data.format_spaces, Netinkamas datos formatas, Invalid date format,
error.card_number,Neteisingas kredito korteles numeris,invalid credit card number,
error.register_for_gst_should_be_enabled,Tai yra privaloma,This is mandatory,
error.column.uniqueness, %{column_name} jau yra,%{column_name} already exists,
error.column.base_money.range.min_max,turėtų būti %{min} ir %{max} diapazone,should be in the range %{min} & %{max},
error.column.number.main,turėtų būti skaičius,should be a number,
error.vat_number_cannot_be_blank,PVM kodas negali būti tuščias,VAT Number cannot be empty,
