key,value,reference value,description
taxjar_communication_failure,"Deja, šiuo metu negalime susisiekti su „TaxJar“. Pabandykite po kurio laiko.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Operacija nepavyko. Netinkama „Avalara“ dokumento būsena.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,Organizacijos adresas yra neteisingas arba neišsamus. Patvirtinkite ir bandykite dar kartą.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Pateikti „Avalara“ įgaliojimai yra neteisingi.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Organizacijos adresas yra neteisingas arba neišsamus. Patvirtinkite ir bandykite dar kartą.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,„TaxJar“ prekės kodas nėra sukonfigūruotas elementui {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"Deja, pristatymo adreso {0} adreso patikrinti nepavyko. Patvirtinkite ir bandykite dar kartą.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"Deja, pristatymo adresas yra neteisingas arba neišsamus. Patvirtinkite ir bandykite dar kartą.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Pateikti „TaxJar“ įgaliojimai yra neteisingi.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,"„{0}“ kredencialų negalima išvalyti, nes jie jau naudojami. Prieš išvalydami {0} kredencialus, pašalinkite {0} mokesčių konfigūraciją.",{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,"Nepavyko apskaičiuoti mokesčių tarifo, nes pristatymo / atsiskaitymo adresas yra neteisingas arba neišsamus. Patvirtinkite ir bandykite dar kartą.",Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"Deja, ši tema nepalaiko {0}. Pasirinkite kitą temą.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,Atsiskaitymo adresas neteisingas arba neišsamus. Patvirtinkite ir bandykite dar kartą.,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,Jūsų „Avalara AvaTax“ paskyrai sukonfigūruotas įmonės kodas yra neaktyvus arba jo nėra.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,"Prieš ištrindami pristatymo adresą, pateikite galiojantį atsiskaitymo adresą.",Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,"Šio dokumento negalima anuliuoti / ištrinti, nes jis nebuvo paskelbtas „Avalara“. Po kurio laiko bandykite dar kartą.",This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"Deja, šiuo metu negalime bendrauti su „Avalara“. Pabandykite po kurio laiko.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Deja, kažkas nepavyko apdorojant užklausą. Pabandykite po kurio laiko.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Galite pasirinkti „Avalara Entity Code“ arba „Exempt Number“, o ne abu.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Deja, kažkas nepavyko apdorojant užklausą. Pabandykite po kurio laiko.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
