key,value,reference value,description
exceeded_allowed_coupon_code_limit,Viename kuponų rinkinyje leidžiama naudoti tik {0} kuponų kodus.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,kuponas nerastas arba netaikomas kuponas,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,kuponas {0} šiai prenumeratai nebuvo pritaikytas,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Įkeliant įvyko klaida. {0} eilutėje rastas pasikartojantis kupono kodas.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,Šios prenumeratos kuponas {0} jau išpirktas,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,"Kuponas {0} negali būti taikomas, nes palaikomi tik vienkartiniai kuponai",Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Negalima ištrinti panaudoto kupono kodo,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Nepalaikomas failo formatas. Leidžiami tik CSV failai,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Negalima ištrinti pasibaigusio kuponų rinkinio,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Perduotas kuponas {0} jau buvo išpirktas {1} kartus. Daugiau išpirkti neleidžiama,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,Kupono kode {1} yra daugiau nei {0} simbolių,More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Nerasta tokio kupono,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,Kito kupono rinkinio pavadinimas jau egzistuoja.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,"Viename ar daugiau kuponų yra daugiau nei {0} taikomų elementų. Norėdami gauti daugiau informacijos, susisiekite su support@chargebee.com.",One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Netinkama prenumeratos būsena norint pritaikyti / pakeisti kuponą,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,Viename kupone leidžiama naudoti tik {0} kuponų rinkinius.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Negalima archyvuoti išpirkto kupono kodo,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,"Šiam kuponui negalima taikyti šios prenumeratos. Norėdami gauti daugiau informacijos, susisiekite su pardavėju.",This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,"Nėra tokio kupono {0}, kurį būtų galima išpirkti",No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,"Kuponas {0} negali būti pritaikytas, nes jis netaikomas jokiems elementams",Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,Faile nerasta kuponų kodų.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,Pritaikyto kupono {0} galiojimo laikas baigėsi {1},Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,Šiai prenumeratai nebuvo taikomi jokie kuponai,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,Nepavyko perskaityti CSV failo turinio.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Netinkamas kupono kodas,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Kupono kodas šiam kuponui netaikomas,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Kupono kodas jau yra. Dublikatas neleidžiamas,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
