key,value,reference value,description
invalid_charge_start_and_end,Praėjo neteisingas terminas. line_item.date_from turi būti prieš line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to
xero_build_inprogress,„Xero“ integracija laikinai išjungta dėl priežiūros. Tai turėtų būti baigta per kelias minutes. Pabandykite kada nors.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.
invalid_invoice_amount,Sąskaitos faktūros suma {0} turėtų būti didesnė nei nulis,Invoice Amount {0} should be greater than zero,Invoice Amount {0} should be greater than zero
record_payment_not_supported,{0},{0},{0}
max_size_reached,"Viršytas maksimalus mokėjimų kortelėmis limitas, kurį reikia grąžinti",Exceeded maximum limit of card payments to refund,Exceeded maximum limit of card payments to refund
recurring_addon_not_supported,Pasikartojančio priedo negalima pridėti prie laukiančios sąskaitos faktūros.,Recurring addon cannot be added to pending invoice.,Recurring addon cannot be added to pending invoice.
hp_product_type_mismatch,"Deja, negalime apdoroti jūsų užklausos. Susisiekite su pardavėju / prekybininku.","Sorry, we are unable process your request. Please get in touch with the seller/merchant.","Sorry, we are unable process your request. Please get in touch with the seller/merchant."
invalid_payment_amount,{0},{0},{0}
refund_amount_too_big,Nurodyta suma viršija leistiną limitą „{0}“,Specified amount is greater than the allowed limit ''{0}'' ,The refund amount is greater than the invoice amount
invalid_invoice_state,{0},{0},{0}
xero_disabled,"„Xero“ integravimas jūsų svetainėje yra išjungtas. Norėdami gauti daugiau informacijos ir pagalbos, susisiekite su support@chargebee.com.",Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.
no_card_present_for_refund,"Negalima apdoroti užklausos, nes šiai operacijai naudojamas mokėjimo metodas išvalytas.",Cannot process request as the payment method used for this transaction has been cleared.,Cannot process request as the payment method used for this transaction has been cleared.
insufficient card payments,"Operacija negali būti tęsiama, nes norint grąžinti pinigus reikia sumokėti skirtingomis kortelėmis",Operation cannot be proceed since customers different card payments are required to refund,Operation cannot be proceed since customers different card payments are required to refund
invoice_price_type,Visi elementai turėtų būti tos pačios kainos tipo (mokesčius neįtraukiantys / įskaičiuojantys mokesčius).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).
referenced_line_item_not_found,Nurodytas apmokestinimo eilutės elementas {0} nėra pridėtas prie sąskaitos faktūros {1},The referenced charge line item {0} is not attached to invoice {1},The referenced charge line item {0} is not attached to invoice {1}
refund_failed,Nepavyko grąžinti operacijos. Klaidos pranešimas: {0},Refund operation failed. Error message: {0},Refund operation failed. Error message: {0}
operation_failed,{0},{0},{0}
product_type_mismatch,"Negalite atsiskaityti tiek už skaitmeninius, tiek apie ne skaitmeninius produktus naudodami tą pačią sąskaitą faktūrą.",You cannot bill both digital and non-digital products using the same invoice.,You cannot bill both digital and non-digital products using the same invoice.
invoice.operation_not_suppoerted,{0},{0},{0}
address_change_not_supported,"Adreso pakeisti negalima, nes jis keičia taikomą mokestį",Address cannot be changed as it changes the applied tax,Address cannot be changed as it changes the applied tax
