key,value,reference value,description
invalid_column,Stulpelio ({0}) vertė {1} yra neteisinga,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,Stulpelis {0} neteisingas.,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,"Norėdami pasirinkti šį lauką, turite pridėti atsiskaitymo šalį.",You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,Norint patvirtinti PVM numerį reikia atsiskaitymo šalies.,Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,"Norėdami pasirinkti šį lauką, turite įgalinti Australijos mokesčius",You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,Faile yra neteisingų reikšmių,File contains invalid values,File contains invalid values
unable_to_validate_abn,"Nepavyko apdoroti ABN, nes neveikia „ABN Lookup“ serveris.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,Antraštės nėra arba ji netinkamai suformatuota.,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,Faile nėra jokių mokesčių taisyklių,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,Nepalaikomas failo formatas. Leidžiami tik CSV failai,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,Šis mokesčių profilis jau susietas su produkto tipu {0}. Prie profilio galite susieti tik vieną produkto tipą.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,Neteisinga ({0}) vertė,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,Mokesčių konfigūracijos failas nerastas,Tax configuration file not found,Tax configuration file not found
duplicate_column,Stulpelis ({0}) faile rodomas daugiau nei vieną kartą.,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,Turite įvesti galiojantį GSTIN.,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,Turite įvesti galiojantį ABN.,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,PVM kodas netaikomas šiai šaliai,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,negalima sukonfigūruoti pašto verčių - {0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,neteisingas pašto kodas,invalid zip/postal code,invalid zip/postal code
org_address_not_config,"Įtraukiančio mokesčio kainos tipo negalima sukonfigūruoti, nes nebuvo galima nustatyti prekybininko mokesčio tarifo",Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,Ši parinktis taikoma tik Australijai.,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,Turite įvesti galiojantį PVM numerį.,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,"Nepavyko patvirtinti PVM numerio, nes VIES patiria prastovų.",Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,Pakaitos simboliai negali būti naudojami kartu su ZIP + 4 pašto kodais - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
