key,value,reference value,description
sort_param_order_invalid,Nurodyta rūšiavimo tvarka {0} yra neteisinga,The specified sort order {0} is invalid,The specified sort order {0} is invalid
updgrade_api_err_msg,{0},{0},{0}
wrong_value,neteisinga vertė,wrong value,wrong value
found_card_pattern,{0},{0},{0}
upload_error,Įkeliant failą įvyko klaida,Error while uploading file,Error while uploading file
ILLEGAL_DOMAIN,{0} domenas neleidžiamas,{0} domain is not allowed,{0} domain is not allowed
param_fixed_size_error,Dydis turėtų būti {0},The size should be of {0},The size should be of {0}
mcp_api_v1_err,"Reikia naujovinti į 2 API versiją, nes įgalinta MCP",Upgrade to API V2 is needed as MCP is enabled,Upgrade to API V2 is needed as MCP is enabled
multipart_post,"Negalima nustatyti kelių dalių, išskyrus paštą",Cannot set multipart for other than post method,Cannot set multipart for other than post method
ILLEGAL_DNS,"Domenas išsprendžia „internalIPaddress“ diapazoną, kuris neleidžiamas.",The domain resolves to internal ip address range which is not allowed.,The domain resolves to internal ip address range which is not allowed.
param_not_supported,{0},{0},{0}
mustache_not_allowed,ūsų žymos neleidžiamos,mustache tags are not allowed,mustache tags are not allowed
param_value_lesser_error,Tai turėtų būti mažiausiai {0},It should be atleast {0},It should be atleast {0}
param_exceeded_error,Tai neturėtų būti daugiau nei {0},It should not be more than {0},It should not be more than {0}
not_an_image,Įkeltas failas turi būti vaizdas.,Uploaded file should be an image.,Uploaded file should be an image.
UNKNOWN_HOST,Nepavyko išspręsti {0} domeno,Unable to resolve {0} domain ,Unable to resolve {0} domain 
EMPTY_SCHEME,URL turėtų prasidėti http: // arba https: // protokolu,URL should start with http:// or https:// protocol,URL should start with http:// or https:// protocol
validate.mul_sub_entry,Klientas {0} jau turi prenumeratą.,The customer {0} already has a subscription.,The customer {0} already has a subscription.
file_size_limit_exceeded,Įkelto failo dydis negali viršyti {0},Upload file size cannot exceed {0},Upload file size cannot exceed {0}
invalid_range,pirmoji vertė {0} neturėtų būti didesnė nei antroji vertė {1},first value {0} should not be more than second value {1},first value {0} should not be more than second value {1}
timestamp_future_only,„Unix“ laiko žymė turėtų būti ateityje,Unix timestamp should be in future,Unix timestamp should be in future
param_wrong_value,Šiai paramai nurodyta vertė {0} yra neteisinga,Value {0} specified for this param is incorrect,The returned parameter has incorrect value
