key,value,reference value,description
page_url_length_exceed,"Deja, nepavyko rasti to puslapio","Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
should_be_unauth,"Atsiprašome, kad galėtumėte peržiūrėti šį puslapį, turite būti atsijungę nuo dabartinės sesijos","Sorry, you must be logged out of current session to view this page","Sorry, you must be logged out of current session to view this page"
web.param_not_unique,Palauk! Jūs jau užsiprenumeravote.,Hold up! You have subscribed already.,Hold up! You have subscribed already.
bad_request_need_refresh,"Deja, užklausoje yra netinkamai suformatuoti duomenys","Sorry, the request contains data that are not formatted properly","Sorry, the request contains data that are not formatted properly"
operation_not_supported,{0},{0},{0}
not_authorized_post,"Deja, jūs neturite leidimo atlikti šį veiksmą","Sorry, you don''t have the permission to do this action","Sorry, you don''t have the permission to do this action"
limit_exceeds,"Deja, leistinas {0} limitas yra {1}.","Sorry, the allowed limit for {0} is {1}.","Sorry, the allowed limit for {0} is {1}."
user_already_exists,paštas jau egzistuoja,email already exists,email already exists
hosted_page_null,Užsakymo URL neteisingas. Patikrinkite URL ir bandykite dar kartą.,The order URL is invalid. Please check the URL and try again.,The order URL is invalid. Please check the URL and try again.
hp_resource_not_found,Šis URL nebegalioja.,This URL is no longer valid.,This URL is no longer valid.
update_card_succeeded,Jūsų kreditinė kortelė jau sėkmingai atnaujinta.,Your credit card has been already updated successfully.,Your credit card has been already updated successfully.
should_be_auth,"Atsiprašome, kad galėtumėte peržiūrėti šį puslapį, turite būti prisijungę","Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
hosted_page_canceled,"Šis užsakymas buvo atšauktas. Prašau, pabandykite dar kartą.",This order has been canceled. Please try again.,This order has been canceled. Please try again.
lock_timeout,"Deja, įvyko laikina klaida. Bandykite dar kartą","Sorry, a temporary error occured. Please retry","Sorry, a temporary error occured. Please retry"
service_unavailable,"Deja, šios operacijos negalima atlikti dėl didelės apkrovos. Bandykite dar kartą po kelių minučių",Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
