key,value,reference value,description
portal.stripe_acc_status_reason.errored,Neseniai persiųstas į banko sąskaitą nepavyko. Banko sąskaita negali būti naudojama atliekant būsimus mokėjimus,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments
portal.change_password.reenter_new_password,Slaptažodžiai nesutampa,Passwords do not match,Passwords do not match
portal.change_password.new_password_not_same,Naujas slaptažodis sutampa su dabartiniu slaptažodžiu,New password is same as the current password,New password is same as the current password
portal.change_password.current_password.incorrect,Pateiktas neteisingas slaptažodis,The password you gave is incorrect,The password you gave is incorrect
portal.stripe_acc_status_reason.verification_failed,Maks. Bandymai patikrinti banko sąskaitą buvo peržengti,Max attempts to verify the bank account has been crossed,Max attempts to verify the bank account has been crossed
portal.account_details.address,Adresas,Address,Address Label
portal.stripe_acc_status_reason.validated,Banko sąskaita dar nepatvirtinta,The bank account is not yet verified,The bank account is not yet verified
portal.stripe_acc_status_reason.verified,Patvirtinta banko sąskaita,The bank account is verified,The bank account is verified
portal.stripe_acc_status_reason.new,Banko sąskaita dar nepatvirtinta,The bank account is not yet verified,The bank account is not yet verified
portal.change_password.recently_used,Neseniai naudoti slaptažodžiai negali būti pakartotinai naudojami,Recently used passwords cannot be reused again,Recently used passwords cannot be reused again
