key,value,reference value,description
quote.label.quote_amount,Pasiūlymo suma,Quote Amount,Quote amount label
quote.label.recurring_charges,Pasikartojantys mokesčiai,Recurring charges,Recurring charges
quote.label.tax.inclusive,Imtinai,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Vieneto kaina,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Prenumerata,Subscription,Subscription sub heading
quote.label.billing_cycle,Atsiskaitymo ciklas,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Atsiskaitymo ciklų skaičius,No of billing cycles,No of billing cycles
quote.term.month,mėnesį,month,month
quote.header.label.sub_total,Iš viso,Sub Total,Sub total
quote.term.months,mėnesių,months,months
quote.label.quote_date,Citatos data,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Mokestis už bandomąjį startą,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Informacija apie PVM,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,metus,year,year
quote.title.subscription_detail,Išsami prenumeratos informacija,Subscription Details,Subscription Detail section heading
quote.label.include,Įskaičiuoti,Includes ,includes
quote.customer_email.request_card,Atnaujinkite išsamią mokėjimo metodo informaciją,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Įtraukiamos nuolaidos ir mokesčiai,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Išsiųstas į,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Kaina,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Mokesčiai už priėmimą,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Mokestis už plano aktyvavimą,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Pradėtas mokėjimas,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,„Proforma“ sąskaita faktūra,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,„Proforma“ sąskaitos faktūros data,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Koregavimai,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12-asis atsiskaitymo ciklas,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11-asis atsiskaitymo ciklas,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10-asis atsiskaitymo ciklas,10th billing cycle,10th billing cycle
quote.term.weeks,savaičių,weeks,weeks
quote.billing_cycle.23,23-asis atsiskaitymo ciklas,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22-asis atsiskaitymo ciklas,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21-asis atsiskaitymo ciklas,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20-asis atsiskaitymo ciklas,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Atsiskaitymo dažnumas,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16-asis atsiskaitymo ciklas,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15-asis atsiskaitymo ciklas,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14-asis atsiskaitymo ciklas,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13-asis atsiskaitymo ciklas,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19-asis atsiskaitymo ciklas,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18-asis atsiskaitymo ciklas,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17-asis atsiskaitymo ciklas,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30-asis atsiskaitymo ciklas,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34-asis atsiskaitymo ciklas,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33-asis atsiskaitymo ciklas,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32-asis atsiskaitymo ciklas,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31-asis atsiskaitymo ciklas,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27-asis atsiskaitymo ciklas,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26-asis atsiskaitymo ciklas,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25-asis atsiskaitymo ciklas,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24-asis atsiskaitymo ciklas,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29-asis atsiskaitymo ciklas,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28-asis atsiskaitymo ciklas,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41-asis atsiskaitymo ciklas,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40-asis atsiskaitymo ciklas,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45-asis atsiskaitymo ciklas,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44-asis atsiskaitymo ciklas,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43-asis atsiskaitymo ciklas,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42-asis atsiskaitymo ciklas,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,38-asis atsiskaitymo ciklas,38th billing cycle,38th billing cycle
quote.billing_cycle.37,37-asis atsiskaitymo ciklas,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36-asis atsiskaitymo ciklas,36th billing cycle,36th billing cycle
quote.billing_cycle.35,35-asis atsiskaitymo ciklas,35th billing cycle,35th billing cycle
quote.billing_cycle.39,39-asis atsiskaitymo ciklas,39th billing cycle,39th billing cycle
quote.billing_cycle.52,52-asis atsiskaitymo ciklas,52nd billing cycle,52nd billing cycle
quote.billing_cycle.51,51-asis atsiskaitymo ciklas,51st billing cycle,51st billing cycle
quote.billing_cycle.50,50-asis atsiskaitymo ciklas,50th billing cycle,50th billing cycle
quote.billing_cycle.56,56-asis atsiskaitymo ciklas,56th billing cycle,56th billing cycle
quote.billing_cycle.55,55-asis atsiskaitymo ciklas,55th billing cycle,55th billing cycle
quote.billing_cycle.54,54-asis atsiskaitymo ciklas,54th billing cycle,54th billing cycle
