key,value,reference value,description
account.first_name.label,Pirmas vardas,First Name,
account.first_name.help,,,
account.last_name.label,Pavardė,Last Name,
account.last_name.help,,,
account.email.label,El,Email,
account.email.help,,,
account.company.label,Bendrovė,Company,
account.company.help,,,
account.phone.label,Telefonas,Phone,
account.phone.help,,,
billing.first_name.label,Pirmas vardas,First Name,
billing.first_name.help,,,
billing.last_name.label,Pavardė,Last Name,
billing.last_name.help,,,
billing.email.label,El,Email,
billing.email.help,,,
billing.phone.label,Telefonas,Phone,
billing.phone.help,,,
billing.company.label,Bendrovė,Company,
billing.company.help,,,
billing.line1.label,Adreso eilutė 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Adreso eilutė 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Adreso eilutė3,Address Line3,
billing.line3.help,,,
billing.city.label,Miestas,City,
billing.city.help,,,
billing.zip.label,Pašto kodas,Zip,
billing.zip.help,,,
billing.country.label,Šalis,Country,
billing.country.help,,,
billing.region.label,Valstija,State,
billing.region.help,,,
billing.state_code.label,Valstija,State,
billing.state_code.help,,,
tax.vat_number.label,PVM numeris,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Aš užsiregistravau į GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Pirmas vardas,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Pavardė,Last Name,
shipping.last_name.help,,,
shipping.email.label,El,Email,
shipping.email.help,,,
shipping.phone.label,Telefonas,Phone,
shipping.phone.help,,,
shipping.company.label,Bendrovė,Company,
shipping.company.help,,,
shipping.line1.label,Adreso eilutė 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Adreso eilutė 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Adreso eilutė3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Miestas,City,
shipping.city.help,,,
shipping.zip.label,Pašto kodas,Zip,
shipping.zip.help,,,
shipping.country.label,Šalis,Country,
shipping.country.help,,,
shipping.region.label,Valstija,State,
shipping.region.help,,,
shipping.state_code.label,Valstija,State,
shipping.state_code.help,,,
gift.first_name.label,Pirmas vardas,First Name,
gift.first_name.help,,,
gift.last_name.label,Pavardė,Last Name,
gift.last_name.help,,,
gift.email.label,El,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,"Iš ko turėtume sakyti, kad jis yra",Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Data,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Laikas,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Pirmas vardas,First Name,
card.first_name.help,,,
card.last_name.label,Pavardė,Last Name,
card.last_name.help,,,
card.number.label,Skaičius,Number,
card.number.help,,,
card.expiry.label,Galiojimas,Expiry,
card.expiry.help,,,
card.expiry_year.label,Galiojimas,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Adreso eilutė 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Adreso eilutė 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Miestas,City,
card.billing_city.help,,,
card.billing_zip.label,Pašto kodas,Zip,
card.billing_zip.help,,,
card.billing_country.label,Šalis,Country,
card.billing_country.help,,,
card.billing_region.label,Valstija,State,
card.billing_region.help,,,
card.billing_state_code.label,Valstija,State,
card.billing_state_code.help,,,
