key,value,reference value,description
error.column.base_money.numeric,jābūt skaitlim,should be a number,
error.invalid_expiry_info,nederīga informācija par derīguma termiņa beigām,invalid expiry info,
error.column.number.allow_negative,nedrīkst būt negatīvs,should not be negative,
error.column.email.main, jābūt derīgam e-pastam, should be a valid email,
error.column.number.range.min_max,jābūt diapazonā %{min} un %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,nedrīkst pārsniegt %{max},should not exceed %{max},
error.column.number.range.max,nedrīkst pārsniegt %{max},should not exceed %{max},
error.column.string.length.min, jābūt vismaz %{min} rakstzīmēm, should have atleast %{min} characters,
error.atleast_today,Jābūt vismaz šodien,Should be atleast today,
error.column.base_money.range.min,jābūt vismaz %{min},should be atleast %{min},
error.invalid_cvv,nederīgs CVV,invalid CVV,
error.column.base_money.main, nederīgs valūtas formāts, invalid currency format,
error.column.number.range.min,jābūt vismaz %{min},should be atleast %{min},
error.column.string.length.max, nedrīkst būt vairāk par %{max} rakstzīmēm, should not have more than %{max} characters,
error.presence,nevar būt tukšs,cannot be blank,
error.wrong_format,Jābūt formātā %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, jābūt %{min} rakstzīmēm, should be of %{min} characters,
error.date_format,nederīgs datuma formāts,invalid date format,
error.column.string.length.min_max, jābūt no %{min} līdz %{max} rakstzīmēm, should be between %{min} and %{max} characters,
error.column.color.main,nederīgs sešstūra krāsas kods,invalid hex color code,
error.password.format,"Jūsu parolei ir jābūt vismaz 8 rakstzīmēm garai, un tajā jābūt veselam skaitlim, alfabētam un īpašai rakstzīmei","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,decimāldaļas nav atļautas,decimal values are not allowed,
error.column.data.format_spaces, Nederīgs datuma formāts, Invalid date format,
error.card_number,Nepareizs kredītkartes numurs,invalid credit card number,
error.register_for_gst_should_be_enabled,Tas ir obligāti,This is mandatory,
error.column.uniqueness, %{column_name} jau pastāv,%{column_name} already exists,
error.column.base_money.range.min_max,jābūt diapazonā %{min} un %{max},should be in the range %{min} & %{max},
error.column.number.main,jābūt skaitlim,should be a number,
error.vat_number_cannot_be_blank,PVN numurs nevar būt tukšs,VAT Number cannot be empty,
