key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Sniedzot savu IBAN un apstiprinot šo maksājumu, jūs pilnvarojat %{merchant_name}, kreditoru un Stripe, mūsu maksājumu pakalpojumu sniedzēju, nosūtīt jūsu bankai norādījumus debetēt jūsu kontu un bankai debetēt jūsu kontu saskaņā ar šiem norādījumiem. Jums ir tiesības uz naudas atmaksu no bankas saskaņā ar līguma noteikumiem ar jūsu banku. Atmaksa ir jāpieprasa 8 nedēļu laikā, sākot no dienas, kad tika norakstīts no jūsu konta.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Esmu reģistrējies GST,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Tiešā debeta instrukcija,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Nosaukums,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,noteikumi un nosacījumi.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,"Es piekrītu, ka uz šo iestādi attiecas manas bankas pakalpojumu sniegšanas noteikumi, kas attiecas uz manu kontu un konkrēto iniciatoru",I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,"atkārtojas, izmantojot SEPA tiešo debetu",recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,"Apstrādājot jūsu pieprasījumu, radās kļūda. Izvēlieties citu maksājuma veidu vai mēģiniet vēlreiz.",An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,"Lai atjauninātu abonementu, jums jāpievieno maksājuma veids.",You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,Tukšs,EMPTY,field empty
hp_v3.portal.ach.setup,Iestatiet ACH,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,Saglabāšana,Saving,Saving
hp_v3.pm.ideal_disclaimer,"<li> Jūs tiksiet novirzīts uz bankas lapu, lai autentificētu maksājumu, izmantojot iDeal. </li> <li> Jūsu periodiskie maksājumi tiks veikti, izmantojot SEPA tiešo debetu. </li>",<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,iDEAL disclaimer
hp_v3.direct_debit.country,Valsts,Country,Country
hp_v3.portal.metered_subscription.desc_without_amount,Jūsu maksa ir atkarīga no lietošanas,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.pm.sofort_desc,"atkārtojas, izmantojot SEPA tiešo debetu",recurring via SEPA Direct Debit,Sofort desc
hp_v3.paynow.use_card_future_payments.info,Šo maksājuma veidu varat izmantot turpmākajiem darījumiem.,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.pm.agreement.gocardless_bacs4,"Ja saņemat atmaksu, kurai neesat tiesīgs, jums tā ir jāatmaksā, kad %{merchant_name} to lūdz.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to."
hp_v3.portal.gateway_error,Bez derīga vārtejas konta nevar turpināt,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.pm.agreement.gocardless_bacs5,"Jūs varat jebkurā laikā atcelt tiešo debetu, vienkārši sazinoties ar savu banku vai celtniecības sabiedrību. Var būt nepieciešams rakstisks apstiprinājums. Lūdzu, paziņojiet arī %{merchant_name}.",You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.
hp_v3.pm.agreement.gocardless_bacs2,"Ja jūsu tiešā debeta summā, datumā vai biežumā ir kādas izmaiņas, %{merchant_name} paziņos jums (parasti 3 darba dienas) pirms jūsu konta debetēšanas vai saskaņā ar citu vienošanos. Ja pieprasāt %{merchant_name} iekasēt maksājumu, pieprasījuma brīdī jums tiks izsniegts apstiprinājums par summu un datumu.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request."
hp_v3.pm.agreement.gocardless_bacs3,"Ja %{merchant_name} vai jūsu banka vai celtniecības sabiedrība maksā par jūsu tiešo debetu ir pieļauta kļūda, jums ir tiesības uz pilnu un tūlītēju naudas atmaksu no bankas vai celtniecības sabiedrības.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society."
hp_v3.portal.no_account,"Šķiet, ka jums nav konta pie mums",Looks like you don’t have an account with us,No account
hp_v3.pm.agreement.gocardless_bacs1,"Garantiju piedāvā visas bankas un celtniecības sabiedrības, kas pieņem norādījumus maksāt tiešo debetu.",The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.
hp_v3.pm.agreement.gocardless_payment_descriptor, %{payment_descriptor} būs redzams jūsu bankas izrakstā.,%{payment_descriptor} will appear on your bank statement.,%{payment_descriptor} will appear on your bank statement.
hp_v3.paynow.pm.ach,ACH,ACH,ACH
hp_v3.inapp_checkout.card_expiring,beidzas,is expiring,card about to expire
hp_v3.direct_debit.last_name,Uzvārds,Last Name,Last Name
hp_v3.common.copy,Kopēt,Copy,Copy
hp_v3.inapp_checkout.pm.direct_debit,Tiešais debets,Direct Debit,Direct Debit
hp_v3.direct_debit.stripe.verification_amount.description,"Jums ir jāpārbauda šis maksājuma veids. Uz jūsu bankas kontu ir izsniegti 2 mikroguldījumi. Var paiet 1–2 dienas, līdz tas tiks parādīts jūsu bankas izrakstā. Šo depozītu izraksta apraksts būs <b> AMNTS: </b> šeit ir jāapstiprina šīs summas, lai autentificētu šo maksājuma veidu.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method."
hp_v3.portal.more_billing_history,Ielādēt vairāk,Load More,Load more history of billing
hp_v3.pm.ideal_desc,"atkārtojas, izmantojot SEPA tiešo debetu",recurring via SEPA Direct Debit,iDEAL desc
hp_v3.direct_debit.date_of_authorization,Atļaujas datums,Date of Authorization,Date of Authorization
hp_v3.direct_debit.stripe.verification_amount_1,Pārbaudes summa 1,Verification Amount 1,Verification Amount 1
hp_v3.direct_debit.stripe.verification_amount_2,Pārbaudes summa 2,Verification Amount 2,Verification Amount 2
hp_v3.direct_debit.authorisation_code,Autorizācijas kods,Authorisation code,Authorisation code
hp_v3.portal.term.months,mēnešus,months,months
hp_v3.pm.agreement.gocardless_payment_cancellation,"Šo autorizāciju var atsaukt tieši jūsu bankā vai nosūtot e-pastu uz %{merchant_name} uz adresi %{merchant_email}. Lūdzu, paiet 7 dienas, līdz šī autorizācija tiks atcelta.",This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.
hp_v3.inapp_checkout.coupon_error,Nederīgs kupona kods,Invalid Coupon Code,Invalid Coupon Code
hp_v3.inapp_checkout.term.week,nedēļā,week,week
hp_v3.direct_debit.swedish_id,Zviedrijas personas kods,Swedish Identity Number,Swedish Identity Number
hp_v3.inapp_checkout.error,"Iesniedzot veidlapu, radās kļūdas",There were errors while submitting the form,There were errors while submitting the form
hp_v3.portal.metered_item.usage_tooltip,"Maksa tiek aprēķināta, pamatojoties uz lietojumu. Pēdējais lietošanas atjauninājums bija {{date}}",Charges are calculated based on usage. Last usage update was on {{date}},Metered item usage tooltip content
