key,value,reference value,description
taxjar_communication_failure,"Diemžēl pašlaik mēs nevaram sazināties ar TaxJar. Lūdzu, mēģiniet pēc kāda laika.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Operācija neizdevās. Avalara dokumenta statuss nav derīgs.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,"Organizācijas adrese nav pareiza vai nepilnīga. Lūdzu, pārbaudiet un mēģiniet vēlreiz.",The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Sniegtie Avalara akreditācijas dati nav derīgi.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,"Organizācijas adrese nav pareiza vai nepilnīga. Lūdzu, pārbaudiet un mēģiniet vēlreiz.",The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,TaxJar preces kods nav konfigurēts vienumam {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"Diemžēl piegādes adrese {0} adreses pārbaudē neizdevās. Lūdzu, pārbaudiet un mēģiniet vēlreiz.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"Diemžēl piegādes adrese nav pareiza vai nepilnīga. Lūdzu, pārbaudiet un mēģiniet vēlreiz.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Norādītie TaxJar akreditācijas dati nav derīgi.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,"{0} akreditācijas datus nevar notīrīt, jo tie jau tiek izmantoti. Pirms {0} akreditācijas datu notīrīšanas, lūdzu, noņemiet {0} nodokļu konfigurāciju.",{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,"Nevar aprēķināt nodokļa likmi, jo piegādes / norēķinu adrese ir nederīga vai nepilnīga. Lūdzu, pārbaudiet un mēģiniet vēlreiz.",Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"Diemžēl šī tēma neatbalsta {0}. Lūdzu, izvēlieties citu tēmu.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,"Norēķinu adrese nav pareiza vai nepilnīga. Lūdzu, pārbaudiet un mēģiniet vēlreiz.",The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,Jūsu Avalara AvaTax kontam konfigurētais uzņēmuma kods ir neaktīvs vai nav.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,"Pirms nosūtīšanas adreses dzēšanas, lūdzu, norādiet derīgu norēķinu adresi.",Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,"Šo dokumentu nevar anulēt / izdzēst, jo tas nav ievietots vietnē Avalara. Lūdzu, pēc kāda laika mēģiniet vēlreiz.",This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"Diemžēl šobrīd mēs nevaram sazināties ar Avalara. Lūdzu, mēģiniet pēc kāda laika.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Diemžēl pieprasījuma apstrādes laikā radās kļūda. Lūdzu, mēģiniet pēc kāda laika.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Varat izvēlēties gan Avalara vienības kodu, gan atbrīvojuma numuru, nevis abus.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Diemžēl pieprasījuma apstrādes laikā radās kļūda. Lūdzu, mēģiniet pēc kāda laika.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
