key,value,reference value,description
sub_start_outside_plan_term,Abonēšanas sākuma datums nevar būt pirms norēķinu perioda.,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,nevar būt pēc datuma cancelled_at ({0}).,cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,"Problēma ar atlaidēm. Lūdzu, sazinieties ar atbalsta dienestu, lai iegūtu sīkāku informāciju.",Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,Izmēģinājuma beigas nevar būt pirms sākuma datuma,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,"Abonementu nevar atjaunināt, jo to ir paredzēts atcelt pašreizējā termiņa beigās",Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,Abonementu var atjaunināt tikai izmēģinājuma un aktīvās valstīs,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,{0} abonementa lauks nevar būt tukšs,cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,"Nevar ieplānot atcelšanu, ja abonēšana ir pārtraukta vai ir ieplānota pauze.",Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,"{0} ir obligāti jāizmanto {1} Tiešais debets, izmantojot {2}",{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,Vismaz vienai atkārtotai papildināšanas vai maksas vienībai jābūt klāt,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,Šai vārtejai netiek atbalstīta kartes pagaidu marķiera pieeja,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
non_compliant_eu_customer,"Darbība neizdevās, jo es valsti, kuru klients ievadīja norēķinu adresē, nevar pārbaudīt, izmantojot IP adresi vai kartes tvertnes numuru.",Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,"Nevar atsākt abonēšanu, jo jums nav aktīvs maksājuma veids.",Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
no_creditcard_for_create,"Nevar izveidot abonementu, jo failā nav derīgas kartes",Cannot create the subscription as there is no valid card on file,Cannot create the subscription as there is no valid card on file
invalid_state_for_cancel,"Nevar atcelt abonementu, kas jau ir atcelts vai beidzies derīguma termiņš",Cannot cancel a subscription that is Cancelled or Expired already,Cannot cancel a subscription that is Cancelled or Expired already
invalid_state_for_collect,Šī darbība tiek atbalstīta tikai vienam vai vairākiem rēķiniem statusā payment_due / not_paid,This operation is supported only for the invoices in payment_due/not_paid status,This operation is supported only for the invoices in payment_due/not_paid status
resume-subscription.invalid_resume_date,nevar būt pause_date vai pirms tā ({0}).,cannot be on or before pause_date ({0}).,cannot be on or before pause_date ({0}).
charge_failed,Neizdevās iekasēt maksājumus. Iemesls: {0},Payment collection failed. Reason: {0},Payment collection failed. Reason: {0}
charge_item_not_supported_eot,"Maksas vienumu nevar pievienot abonementam, kas mainās termiņa beigās.",Charge item cannot be added to a subscription changing at end of term.,Charge item cannot be added to a subscription changing at end of term.
charge_item_not_supported,"Maksas vienumu tagad nevar pievienot, jo rēķins netiek uzrādīts uzreiz.",Charge item cannot be added now as invoice is not raised immediately.,Charge item cannot be added now as invoice is not raised immediately.
invalid_term_end_date,Datumam nevajadzētu būt pirms šodienas,The date should not be prior to today,The date should not be prior to today
no_scheduled_changes,Šajā abonementā nav paredzētas izmaiņas.,No changes are scheduled for this subscription.,No changes scheduled for the subscription on next renewal
date_outside_plan_term,{0} ir jābūt norēķinu periodā,{0} must be within the billing period,{0} must be within the billing period
self_site_change_sub_error,"Nevar mainīt abonementu uz noteiktu plānu, jo kopējie neto ieņēmumi pārsniedz brīvā sliekšņa summu",Cannot change the subscription to specified plan as total net revenue crosses the free threshold amount,Cannot change the subscription to specified plan as total net revenue crosses the free threshold amount
