key,value,reference value,description
quote.label.quote_amount,Citātu summa,Quote Amount,Quote amount label
quote.label.recurring_charges,Atkārtotas maksas,Recurring charges,Recurring charges
quote.label.tax.inclusive,Iekļaujošs,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Vienības cena,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Abonēšana,Subscription,Subscription sub heading
quote.label.billing_cycle,Norēķinu cikls,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Norēķinu ciklu skaits,No of billing cycles,No of billing cycles
quote.term.month,mēnesī,month,month
quote.header.label.sub_total,Kopā,Sub Total,Sub total
quote.term.months,mēnešus,months,months
quote.label.quote_date,Citāta datums,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Maksa par izmēģinājuma sākumu,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Informācija par PVN,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,gadā,year,year
quote.title.subscription_detail,Informācija par abonementu,Subscription Details,Subscription Detail section heading
quote.label.include,Iekļautie,Includes ,includes
quote.customer_email.request_card,Atjauniniet informāciju par maksājuma veidu,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Ieskaitot atlaides un nodokļus,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Nosūtīts uz,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Cena,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Maksa par pieņemšanu,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Maksa par plāna aktivizēšanu,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Maksājums uzsākts,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Proforma rēķins,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Proforma rēķina datums,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Pielāgojumi,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12. norēķinu cikls,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11. norēķinu cikls,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10. norēķinu cikls,10th billing cycle,10th billing cycle
quote.term.weeks,nedēļas,weeks,weeks
quote.billing_cycle.23,23. norēķinu cikls,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22. norēķinu cikls,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21. norēķinu cikls,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20. norēķinu cikls,20th billing cycle,20th billing cycle
