key,value,reference value,description
account.first_name.label,Vārds,First Name,
account.first_name.help,,,
account.last_name.label,Uzvārds,Last Name,
account.last_name.help,,,
account.email.label,E-pasts,Email,
account.email.help,,,
account.company.label,Uzņēmums,Company,
account.company.help,,,
account.phone.label,Tālrunis,Phone,
account.phone.help,,,
billing.first_name.label,Vārds,First Name,
billing.first_name.help,,,
billing.last_name.label,Uzvārds,Last Name,
billing.last_name.help,,,
billing.email.label,E-pasts,Email,
billing.email.help,,,
billing.phone.label,Tālrunis,Phone,
billing.phone.help,,,
billing.company.label,Uzņēmums,Company,
billing.company.help,,,
billing.line1.label,Adreses līnija,Address Line1,
billing.line1.help,,,
billing.line2.label,Adreses rindiņa2,Address Line2,
billing.line2.help,,,
billing.line3.label,Adreses līnija3,Address Line3,
billing.line3.help,,,
billing.city.label,Pilsēta,City,
billing.city.help,,,
billing.zip.label,Zip,Zip,
billing.zip.help,,,
billing.country.label,Valsts,Country,
billing.country.help,,,
billing.region.label,Valsts,State,
billing.region.help,,,
billing.state_code.label,Valsts,State,
billing.state_code.help,,,
tax.vat_number.label,PVN numurs,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Esmu reģistrējies GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Vārds,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Uzvārds,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-pasts,Email,
shipping.email.help,,,
shipping.phone.label,Tālrunis,Phone,
shipping.phone.help,,,
shipping.company.label,Uzņēmums,Company,
shipping.company.help,,,
shipping.line1.label,Adreses līnija,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Adreses līnija2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Adreses līnija3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Pilsēta,City,
shipping.city.help,,,
shipping.zip.label,Zip,Zip,
shipping.zip.help,,,
shipping.country.label,Valsts,Country,
shipping.country.help,,,
shipping.region.label,Valsts,State,
shipping.region.help,,,
shipping.state_code.label,Valsts,State,
shipping.state_code.help,,,
gift.first_name.label,Vārds,First Name,
gift.first_name.help,,,
gift.last_name.label,Uzvārds,Last Name,
gift.last_name.help,,,
gift.email.label,E-pasts,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,"No kā mums vajadzētu teikt, ka tas ir no",Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Datums,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Laiks,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Vārds,First Name,
card.first_name.help,,,
card.last_name.label,Uzvārds,Last Name,
card.last_name.help,,,
card.number.label,Skaits,Number,
card.number.help,,,
card.expiry.label,Derīguma termiņš,Expiry,
card.expiry.help,,,
card.expiry_year.label,Derīguma termiņš,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Adreses līnija,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Adreses rindiņa2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Pilsēta,City,
card.billing_city.help,,,
card.billing_zip.label,Zip,Zip,
card.billing_zip.help,,,
card.billing_country.label,Valsts,Country,
card.billing_country.help,,,
card.billing_region.label,Valsts,State,
card.billing_region.help,,,
card.billing_state_code.label,Valsts,State,
card.billing_state_code.help,,,
