key,value,reference value,description
sub_details_card.metered_item.footnote,Hoeveelheid kan variëren op basis van gebruik tijdens de factureringsperiode.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,U ontvangt deze e-mail omdat u betaalt voor de abonnementen en kosten van deze klant,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Deze link vervalt over 7 dagen.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Eenheden,Units,
card_offline_pm.instruction.text,Zorg ervoor dat u klaar bent met het exacte bedrag bij aankomst van onze serviceagent.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,U kunt de details hier downloaden en bekijken. Deze link vervalt over 7 dagen.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,U ontvangt deze e-mail omdat u de ouder van deze klant bent.,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Deze factuur is betaald door uw ouderaccount,This invoice was paid by your parent account,
download_attachments_note.link_text,Downloaden,Download,
invoice_details_card.download_link.text,Download en bekijk alle een of meerdere facturen,Download and view all invoices,
