key,value,reference value,description
error.column.base_money.numeric,zou een nummer moeten zijn,should be a number,
error.invalid_expiry_info,ongeldige vervaldata,invalid expiry info,
error.column.number.allow_negative,mag niet negatief zijn,should not be negative,
error.column.email.main, moet een geldig e-mailadres zijn, should be a valid email,
error.column.number.range.min_max,moet tussen %{min} en %{max} liggen,should be in the range %{min} & %{max},
error.column.base_money.range.max,mag %{max} niet overschrijden,should not exceed %{max},
error.column.number.range.max,mag %{max} niet overschrijden,should not exceed %{max},
error.column.string.length.min, moet ten minste %{min} tekens bevatten, should have atleast %{min} characters,
error.atleast_today,Dat zou op zijn minst vandaag moeten zijn,Should be atleast today,
error.column.base_money.range.min,moet minstens %{min} zijn,should be atleast %{min},
error.invalid_cvv,ongeldige CVV,invalid CVV,
error.column.base_money.main, ongeldige valuta-indeling, invalid currency format,
error.column.number.range.min,moet minstens %{min} zijn,should be atleast %{min},
error.column.string.length.max, mag niet meer dan %{max} tekens bevatten, should not have more than %{max} characters,
error.presence,kan niet leeg zijn,cannot be blank,
error.wrong_format,Moet de indeling %{regex} hebben,Should be in %{regex} format,
error.column.string.length.fixed_length, moet uit %{min} tekens bestaan, should be of %{min} characters,
error.date_format,ongeldige datum,invalid date format,
error.column.string.length.min_max, moet tussen %{min} en %{max} tekens zijn, should be between %{min} and %{max} characters,
error.column.color.main,ongeldige hexadecimale kleurcode,invalid hex color code,
error.password.format,"Uw wachtwoord moet minimaal 8 tekens lang zijn en een geheel getal, een alfabet en een speciaal teken bevatten","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,decimale waarden zijn niet toegestaan,decimal values are not allowed,
error.column.data.format_spaces, ongeldige datum, Invalid date format,
error.card_number,Ongeldig creditcard nummer,invalid credit card number,
error.register_for_gst_should_be_enabled,Dit is verplicht,This is mandatory,
error.column.uniqueness, %{column_name} bestaat al,%{column_name} already exists,
error.column.base_money.range.min_max,moet tussen %{min} en %{max} liggen,should be in the range %{min} & %{max},
error.column.number.main,zou een nummer moeten zijn,should be a number,
error.vat_number_cannot_be_blank,BTW-nummer mag niet leeg zijn,VAT Number cannot be empty,
