key,value,reference value,description
not_supported_for_moved_out_resource,De updatebewerkingen worden niet ondersteund omdat we deze klant naar de site hebben verplaatst {0},The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,De verificatie is mislukt. De parameter _jsapi_key is niet aanwezig in het verzoek,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} bron met ID {1} bestaat niet.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} niet gevonden,{0} not found,When resource is not found.
tos_not_agreed,Het is verplicht om akkoord te gaan met de voorwaarden om het afrekenen te voltooien.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} bron met ID {1} bestaat al.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,De verificatie is mislukt. Ongeldige API-sleutel,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,De authenticatie is mislukt. De header van de basisauthenticatie heeft een ongeldige indeling.,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Deze api is niet toegestaan ​​voor deze klant,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} bron is al aanwezig,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,De bewerking wordt niet ondersteund voor klanten met niet-opgezegde abonnementen.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,De waarde die al aanwezig is in {0},The value already present in {0},The value already present in {0}
api_disabled,De site is niet ingeschakeld,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Sorry, de parameter wordt niet ondersteund door de browser.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,De {0} waarnaar wordt verwezen in parameter {1} is niet aanwezig,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,De verificatie is mislukt. De autorisatieheader voor basisverificatie is niet aanwezig in het verzoek,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Sorry, schakel de site-instelling voor orderbeheer in om deze API te gebruiken.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Sorry, de API-verzoeklimiet is bereikt. Probeer het na {0} min.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Sorry, de aanvraaglimiet voor de js-bibliotheek is bereikt. Probeer het na enige tijd.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Deze URL is niet meer geldig. Neem contact met ons op voor assistentie.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,De updatebewerkingen zijn niet langer mogelijk voor deze bron.Neem contact met ons op voor hulp.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"Sorry, maar de {0} bron {1} is al gepland voor verwijdering","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,De bewerking wordt niet ondersteund voor klanten die al zijn gepland voor het wissen van PII.,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
