key,value,reference value,description
taxjar_communication_failure,"Sorry, we kunnen momenteel niet communiceren met TaxJar. Probeer het na enige tijd.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Operatie mislukt. Ongeldige documentstatus in Avalara.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,Het adres van de organisatie is ongeldig of onvolledig. Verifieer het en probeer het opnieuw.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,De opgegeven Avalara-inloggegevens zijn ongeldig.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Het adres van de organisatie is ongeldig of onvolledig. Verifieer het en probeer het opnieuw.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,TaxJar-productcode is niet geconfigureerd voor het artikel {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"Sorry, het verzendadres is niet geslaagd voor de {0} adrescontrole. Verifieer het en probeer het opnieuw.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"Sorry, het verzendadres is ongeldig of onvolledig. Verifieer het en probeer het opnieuw.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,De opgegeven TaxJar-inloggegevens zijn ongeldig.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,De inloggegevens van {0} kunnen niet worden gewist omdat ze al in gebruik zijn. Verwijder de {0} belastingconfiguratie voordat u de {0} -inloggegevens wist.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,Kan het belastingtarief niet berekenen omdat het verzend- / factuuradres ongeldig of onvolledig is. Verifieer het en probeer het opnieuw.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"Sorry, dit thema ondersteunt geen {0}. Kies een ander thema.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,Het factuuradres is ongeldig of onvolledig. Verifieer het en probeer het opnieuw.,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,"De bedrijfscode die voor uw Avalara AvaTax-account is geconfigureerd, is inactief of niet aanwezig.",The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,Geef een geldig factuuradres op voordat u het verzendadres verwijdert.,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,Dit document kan niet worden geannuleerd / verwijderd omdat het niet naar Avalara is gepost. Probeer het na enige tijd opnieuw.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"Sorry, we kunnen momenteel niet communiceren met Avalara. Probeer het na enige tijd.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Sorry, er is iets misgegaan terwijl het verzoek werd verwerkt. Probeer het na enige tijd.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"U kunt de Avalara-entiteitscode of het vrijgestelde nummer kiezen, niet beide.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Sorry, er is iets misgegaan terwijl het verzoek werd verwerkt. Probeer het na enige tijd.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
