key,value,reference value,description
quote.label.quote_amount,Offerte bedrag,Quote Amount,Quote amount label
quote.label.recurring_charges,Terugkerende kosten,Recurring charges,Recurring charges
quote.label.tax.inclusive,Inclusief,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Eenheid prijs,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Abonnement,Subscription,Subscription sub heading
quote.label.billing_cycle,Factureringscyclus,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Geen factureringscycli,No of billing cycles,No of billing cycles
quote.term.month,maand,month,month
quote.header.label.sub_total,Subtotaal,Sub Total,Sub total
quote.term.months,maanden,months,months
quote.label.quote_date,Offerte datum,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Betaalbaar bij start van de proefperiode,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,BTW-gegevens,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,jaar,year,year
quote.title.subscription_detail,Abonnementsgegevens,Subscription Details,Subscription Detail section heading
quote.label.include,Ingesloten,Includes ,includes
quote.customer_email.request_card,Werk uw betaalmethodegegevens bij,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Inclusief kortingen en belastingen,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Verzonden naar,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Prijs,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Kosten bij acceptatie,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Betaald bij activering van het abonnement,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Betaling geïnitieerd,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Proforma-factuur,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Proforma Factuurdatum,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Aanpassingen,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12e betalingscyclus,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11e betalingscyclus,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10e betalingscyclus,10th billing cycle,10th billing cycle
quote.term.weeks,weken,weeks,weeks
quote.billing_cycle.23,23e betalingscyclus,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22e betalingscyclus,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21e betalingscyclus,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20e betalingscyclus,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Factureringsfrequentie,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16e betalingscyclus,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15e betalingscyclus,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14e betalingscyclus,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13e betalingscyclus,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19e betalingscyclus,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18e betalingscyclus,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17e betalingscyclus,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30e betalingscyclus,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34e betalingscyclus,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33e betalingscyclus,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32e betalingscyclus,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31e betalingscyclus,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27e betalingscyclus,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26e betalingscyclus,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25e betalingscyclus,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24e betalingscyclus,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29e betalingscyclus,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28e betalingscyclus,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41e betalingscyclus,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40e betalingscyclus,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45e betalingscyclus,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44e betalingscyclus,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43e betalingscyclus,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42e betalingscyclus,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,38e betalingscyclus,38th billing cycle,38th billing cycle
quote.billing_cycle.37,37e betalingscyclus,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36e betalingscyclus,36th billing cycle,36th billing cycle
quote.billing_cycle.35,35e betalingscyclus,35th billing cycle,35th billing cycle
quote.billing_cycle.39,39e betalingscyclus,39th billing cycle,39th billing cycle
quote.billing_cycle.52,52e betalingscyclus,52nd billing cycle,52nd billing cycle
quote.billing_cycle.51,51e betalingscyclus,51st billing cycle,51st billing cycle
quote.billing_cycle.50,50e betalingscyclus,50th billing cycle,50th billing cycle
quote.billing_cycle.56,56e betalingscyclus,56th billing cycle,56th billing cycle
quote.billing_cycle.55,55e betalingscyclus,55th billing cycle,55th billing cycle
quote.billing_cycle.54,54e betalingscyclus,54th billing cycle,54th billing cycle
quote.billing_cycle.53,53e betalingscyclus,53rd billing cycle,53rd billing cycle
quote.billing_cycle.49,49e betalingscyclus,49th billing cycle,49th billing cycle
quote.billing_cycle.48,48e betalingscyclus,48th billing cycle,48th billing cycle
quote.billing_cycle.47,47e betalingscyclus,47th billing cycle,47th billing cycle
quote.billing_cycle.46,46e betalingscyclus,46th billing cycle,46th billing cycle
quote.billing_cycle.63,63e betalingscyclus,63rd billing cycle,63rd billing cycle
quote.billing_cycle.62,62e betalingscyclus,62nd billing cycle,62nd billing cycle
quote.billing_cycle.61,61ste betalingscyclus,61st billing cycle,61st billing cycle
quote.billing_cycle.60,60e betalingscyclus,60th billing cycle,60th billing cycle
quote.billing_cycle.67,67e betalingscyclus,67th billing cycle,67th billing cycle
quote.billing_cycle.66,66e betalingscyclus,66th billing cycle,66th billing cycle
quote.billing_cycle.65,65e betalingscyclus,65th billing cycle,65th billing cycle
quote.billing_cycle.64,64e betalingscyclus,64th billing cycle,64th billing cycle
quote.billing_cycle.59,59e betalingscyclus,59th billing cycle,59th billing cycle
quote.billing_cycle.58,58e betalingscyclus,58th billing cycle,58th billing cycle
quote.billing_cycle.57,57e betalingscyclus,57th billing cycle,57th billing cycle
quote.billing_cycle.74,74e betalingscyclus,74th billing cycle,74th billing cycle
quote.billing_cycle.73,73e betalingscyclus,73rd billing cycle,73rd billing cycle
quote.billing_cycle.72,72e betalingscyclus,72nd billing cycle,72nd billing cycle
quote.billing_cycle.71,71e betalingscyclus,71st billing cycle,71st billing cycle
quote.billing_cycle.78,78e betalingscyclus,78th billing cycle,78th billing cycle
quote.billing_cycle.77,77e betalingscyclus,77th billing cycle,77th billing cycle
quote.billing_cycle.76,76e betalingscyclus,76th billing cycle,76th billing cycle
quote.billing_cycle.75,75e betalingscyclus,75th billing cycle,75th billing cycle
quote.billing_cycle.70,70e betalingscyclus,70th billing cycle,70th billing cycle
quote.billing_cycle.69,69e betalingscyclus,69th billing cycle,69th billing cycle
quote.billing_cycle.68,68e betalingscyclus,68th billing cycle,68th billing cycle
quote.billing_cycle.85,85e betalingscyclus,85th billing cycle,85th billing cycle
quote.billing_cycle.84,84e betalingscyclus,84th billing cycle,84th billing cycle
quote.billing_cycle.83,83e betalingscyclus,83rd billing cycle,83rd billing cycle
quote.billing_cycle.82,82e betalingscyclus,82nd billing cycle,82nd billing cycle
quote.billing_cycle.89,89e betalingscyclus,89th billing cycle,89th billing cycle
quote.billing_cycle.88,88e betalingscyclus,88th billing cycle,88th billing cycle
quote.billing_cycle.87,87e betalingscyclus,87th billing cycle,87th billing cycle
quote.billing_cycle.86,86e betalingscyclus,86th billing cycle,86th billing cycle
quote.billing_cycle.81,81ste betalingscyclus,81st billing cycle,81st billing cycle
quote.billing_cycle.80,80ste betalingscyclus,80th billing cycle,80th billing cycle
quote.billing_cycle.79,79e betalingscyclus,79th billing cycle,79th billing cycle
quote.billing_cycle.96,96e betalingscyclus,96th billing cycle,96th billing cycle
quote.billing_cycle.95,95e betalingscyclus,95th billing cycle,95th billing cycle
quote.billing_cycle.94,94e betalingscyclus,94th billing cycle,94th billing cycle
quote.billing_cycle.93,93e betalingscyclus,93rd billing cycle,93rd billing cycle
quote.billing_cycle.99,99e betalingscyclus,99th billing cycle,99th billing cycle
quote.billing_cycle.98,98e betalingscyclus,98th billing cycle,98th billing cycle
quote.billing_cycle.97,97e betalingscyclus,97th billing cycle,97th billing cycle
quote.billing_cycle.92,92e betalingscyclus,92nd billing cycle,92nd billing cycle
quote.billing_cycle.91,91e betalingscyclus,91st billing cycle,91st billing cycle
quote.billing_cycle.90,90e betalingscyclus,90th billing cycle,90th billing cycle
quote.inclusive_tax_single.desc,Inclusief %{tax_description} ( %{total_amount}),Inclusive of %{tax_description} (%{total_amount}),For the case when one particular tax is inclusive - inclusive of vat (30)
quote.title.billed_to,Gefactureerd aan,Billed To,Billed to label - Under this comes the billing address of the customer
quote.label.non_recurring_charges,Eenmalige kosten,Non-Recurring charges,Non-Recurring charges
quote.inclusive_tax_multi.desc,Inclusief belastingen ( %{total_amount}),Inclusive of taxes (%{total_amount}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
quote.label.id,ID,ID,Subscription id label
quote.label.includes_discounts_taxes_and_prorated_charges,"Inclusief kortingen, belastingen en pro rata kosten","Includes discounts, taxes & prorated charges","Includes discounts, taxes & prorated charges"
quote.label.next_billing_date,Volgende factuurdatum,Next Billing Date,Next billing date label
quote.term.years,jaren,years,years
quote.payment_terms.due_upon_receipt,Te betalen bij ontvangst,Due Upon Receipt,To indicate the Zero net terms 
quote.label.transfer_details,Overdrachtgegevens,Transfer Details,Transfer Details label
quote.branding.powered_by,Aangedreven door,Powered by,Logo in an quote - Powered by Chargebee
quote.frequency.every,Elke,Every,Every
quote.customer_signature.label,Handtekening van de klant,Customer's Signature,Customer's Signature
quote.label.total_recurring_charges,Totaal terugkerende kosten (voor alle factureringscycli),Total Recurring Charges (for all billing cycles),Total Recurring Charges (for all billing cycles)
quote.label.cust_vat,VAT,VAT,VAT number label
quote.label.expiry_date, Vervaldatum, Expiry Date,Quote expiry date label
quote.label.credits,Credits,Credits,The store credits used in the quote
quote.label.tax.exclusive,Exclusief,Excl. ,Exclusive - exclusive of taxes
quote.header.label.amount,Bedrag,Amount,The amount that needs to be paid
quote.label.chargeable_on_subscription_change,Betaalbaar bij wijziging van abonnement,Chargeable on subscription change,Chargeable on subscription change
quote.label.billing_period,Factureringsperiode,Billing Period,Billing period label
quote.label.total_payable,Totaal te betalen,Total Payable,Total Payable
quote.header.label.discounts,Korting,Discount,Discount label
quote.label.tax.inclusive_of_vat,inclusief btw,incl. VAT,VAT Inclusive -  inclusive of all taxes
quote.label.total,Totaal,Total,Total
quote.label.start_date, Startdatum abonnement, Subscription Start Date,Subscription Start Date label
quote.label.trial_period,Proefperiode,Trial Period,Trial Period
quote.branding.test_label,Dit is een voorbeeldofferte gegenereerd door Chargebee,This is a sample quote generated by Chargebee,Logo in an quote
quote.term.week,week,week,week
quote.label.payment_terms,Betaalvoorwaarden,Payment Terms,Net D payment terms label shown in quote
quote.billing_cycle.6,6e betalingscyclus,6th billing cycle,6th billing cycle
quote.billing_cycle.7,7e betalingscyclus,7th billing cycle,7th billing cycle
quote.billing_cycle.8,8e betalingscyclus,8th billing cycle,8th billing cycle
quote.billing_cycle.9,9e betalingscyclus,9th billing cycle,9th billing cycle
quote.billing_cycle.2,2e betalingscyclus,2nd billing cycle,2nd billing cycle
quote.billing_cycle.3,3e betalingscyclus,3rd billing cycle,3rd billing cycle
quote.label.credits_will_be_applied,Eventuele tegoeden zullen worden toegepast op het moment van facturering,Credits available if any will be applied at the time of invoicing,Credits available if any will be applied at the time of invoicing
quote.billing_cycle.4,4e betalingscyclus,4th billing cycle,4th billing cycle
quote.billing_cycle.5,5e betalingscyclus,5th billing cycle,5th billing cycle
quote.billing_cycle.1,1e betalingscyclus,1st billing cycle,1st billing cycle
quote.term.days,dagen,days,days
quote.branding.cb_name,Chargebee,Chargebee,Compay name
quote.payment_succeeded, %{inv_amount} is betaald op %{inv_date},%{inv_amount} was paid on %{inv_date},The date at which the quote was paid
quote.term.day,dag,day,day
quote.label.due_date,Opleveringsdatum,Due Date,Quote Due date label
quote.label.tax.tax,Belasting,Tax,tax
quote.label.contract_term.action_at_term_end,Aan het einde van de termijn,At Term-End,Action to be taken when the contract term completes
quote.label.sub_total,Subtotaal,Sub Total,Sub total
quote.billing_cycle.100,100e betalingscyclus,100th billing cycle,100th billing cycle
quote.label.tax.exclusive_of_vat,Exclusief btw,excl. VAT,VAT Exclusive - exclusive of taxes
quote.header.label.description,Beschrijving,Description,Table heading under which the product description comes
quote.header.label.units,Eenheden,Units,Heading under which the number of units of the product purchased comes
quote.label.cust_id,Klanten ID,Customer ID,Customer id label
quote.label.round_off,Afronden,Round Off,Round off - quote amount is rounded off to a whole number
quote.label.po_number,PO,PO,Purchase order number label
quote.branding.test_proforma_label,Dit is een voorbeeld van een proforma-factuur die is gegenereerd door Chargebee,This is a sample proforma invoice generated by Chargebee,Test proforma invoice label in quote pdf
quote.sub.billing_period,%{from_date} - %{to_date},%{from_date} to %{to_date},3rd sept to 22 Oct
quote.label.payments,Betalingen,Payments,Payments Applied
quote.payment_inprogress, %{inv_amount} betaling is gestart op %{inv_date},%{inv_amount} payment was initiated on %{inv_date},indicates that the payment was initiated along with the date
quote.label.contract_term.no_of_billing_cycles_on_renewal,Aantal factureringscycli bij verlenging,No. of billing cycles on renewal,No of billing cycles for subscription on contract term renewal
quote.label.vat_exemption_note,Opmerking over btw-vrijstelling,VAT Exemption Note,A label below which is a note
quote.label.renewed_until_cancellation,Verlengd tot annulering,Renewed until cancellation,Renewed until cancellation
quote.label.net_amount,Netto bedrag,Net Amount,Amount that needs to be paid
quote.label.tax_details,Belastinggegevens,Tax Details,tax details label
quote.label.contract_term,Contracttermijn,Contract term,Contract term of subscription
quote.payment_terms.net_prefix,Netto %{days},Net %{days},To indicate the patment term prefix. Ex
quote.label.notes,Opmerkingen,Notes,Any quote notes that need to be displayed
quote.label.quote,Citaat,Quote,Quote number label
