key,value,reference value,description
account.first_name.label,Voornaam,First Name,
account.first_name.help,,,
account.last_name.label,Achternaam,Last Name,
account.last_name.help,,,
account.email.label,E-mail,Email,
account.email.help,,,
account.company.label,Bedrijf,Company,
account.company.help,,,
account.phone.label,Telefoon,Phone,
account.phone.help,,,
billing.first_name.label,Voornaam,First Name,
billing.first_name.help,,,
billing.last_name.label,Achternaam,Last Name,
billing.last_name.help,,,
billing.email.label,E-mail,Email,
billing.email.help,,,
billing.phone.label,Telefoon,Phone,
billing.phone.help,,,
billing.company.label,Bedrijf,Company,
billing.company.help,,,
billing.line1.label,Adres regel 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Adres lijn 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Adresregel 3,Address Line3,
billing.line3.help,,,
billing.city.label,stad,City,
billing.city.help,,,
billing.zip.label,Ritssluiting,Zip,
billing.zip.help,,,
billing.country.label,Land,Country,
billing.country.help,,,
billing.region.label,Staat,State,
billing.region.help,,,
billing.state_code.label,Staat,State,
billing.state_code.help,,,
tax.vat_number.label,Btw-nummer,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Ik heb me aangemeld voor GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Voornaam,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Achternaam,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-mail,Email,
shipping.email.help,,,
shipping.phone.label,Telefoon,Phone,
shipping.phone.help,,,
shipping.company.label,Bedrijf,Company,
shipping.company.help,,,
shipping.line1.label,Adres regel 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Adres lijn 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Adresregel 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,stad,City,
shipping.city.help,,,
shipping.zip.label,Ritssluiting,Zip,
shipping.zip.help,,,
shipping.country.label,Land,Country,
shipping.country.help,,,
shipping.region.label,Staat,State,
shipping.region.help,,,
shipping.state_code.label,Staat,State,
shipping.state_code.help,,,
gift.first_name.label,Voornaam,First Name,
gift.first_name.help,,,
gift.last_name.label,Achternaam,Last Name,
gift.last_name.help,,,
gift.email.label,E-mail,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,Van wie moeten we zeggen dat het vandaan komt,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Datum,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Tijd,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Voornaam,First Name,
card.first_name.help,,,
card.last_name.label,Achternaam,Last Name,
card.last_name.help,,,
card.number.label,Aantal,Number,
card.number.help,,,
card.expiry.label,Vervaldatum,Expiry,
card.expiry.help,,,
card.expiry_year.label,Vervaldatum,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Adres regel 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Adres lijn 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,stad,City,
card.billing_city.help,,,
card.billing_zip.label,Ritssluiting,Zip,
card.billing_zip.help,,,
card.billing_country.label,Land,Country,
card.billing_country.help,,,
card.billing_region.label,Staat,State,
card.billing_region.help,,,
card.billing_state_code.label,Staat,State,
card.billing_state_code.help,,,
