key,value,reference value,description
cbjs_grp.bank,Bank,Bank,Bank
cbjs_grp.select_bank,Selecteer Bank,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Lijst met ondersteunde banken ophalen,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Voeg uw accountgegevens toe,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Accountgegevens bewerken,Editing account details,Editing account details
inapp_checkout.customer.update,Bijwerken,Update,Update
inapp_checkout.customer.next,De volgende,Next,Next
inapp_checkout.billing_address.header,Voeg uw factuuradres toe,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Factuuradres bewerken,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Bijwerken,Update,Update
inapp_checkout.billing_address.next,De volgende,Next,Next
inapp_checkout.shipping_address.header,Voeg uw verzendadres toe,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Verzendadres bewerken,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Bijwerken,Update,Update
inapp_checkout.shipping_address.next,De volgende,Next,Next
inapp_checkout.choose_sa.header,Kies verzendadres,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Verstuur naar mijn Factuuradres,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Nieuw toevoegen,Add New,Add New
inapp_checkout.payment_method.choose.add,Betaalmethode toevoegen,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Voeg uw betalingsgegevens toe,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Betalingsgegevens bewerken,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Kies een betalingsmethode,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Kies een andere betaalmethode,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Bijwerken,Update,Update
inapp_checkout.payment_method.next,De volgende,Next,Next
inapp_checkout.subscription.header,Voeg uw abonnementsgegevens toe,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Voeg uw aankoopgegevens toe,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Abonnementsgegevens bewerken,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Aankoopgegevens bewerken,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Bijwerken,Update,Update
inapp_checkout.invoice.update,Bijwerken,Update,Update
inapp_checkout.subscription.next,De volgende,Next,Next
inapp_checkout.invoice.next,De volgende,Next,Next
inapp_checkout.review.header,Rond uw bestelling af,Complete your order,Complete your order
