key,value,reference value,description
sub_details_card.metered_item.footnote,Mengden kan variere basert på bruk i faktureringsperioden.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,Du mottar denne e-posten fordi du betaler for kundens abonnement og gebyrer,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Denne lenken utløper om syv dager.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Enheter,Units,
card_offline_pm.instruction.text,Forsikre deg om at du er klar med det nøyaktige beløpet ved ankomst av serviceagenten.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Du kan laste ned og se detaljene her. Denne lenken utløper om syv dager.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,Du mottar denne e-posten siden du er foreldre til denne kunden.,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Denne fakturaen ble betalt av foreldrekontoen din,This invoice was paid by your parent account,
download_attachments_note.link_text,nedlasting,Download,
invoice_details_card.download_link.text,Last ned og se alle en eller flere fakturaer,Download and view all invoices,
