key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Ved å oppgi IBAN-nummeret ditt og bekrefte denne innbetalingen, gir du fullmakt til %{merchant_name}, kreditor og Stripe, vår betalingstjenesteleverandør, til å sende instruksjoner til banken din om å belaste kontoen din og banken din for å belaste kontoen din i samsvar med disse instruksjonene. Du har krav på tilbakebetaling fra banken din under vilkårene i avtalen din med banken din. Det må kreves tilbakebetaling innen åtte uker fra datoen da kontoen din ble belastet.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Jeg har registrert meg for GST,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Instruksjoner om direkte belastning,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Navn,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,vilkår og betingelser.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,Jeg godtar at denne autoriteten er underlagt bankens vilkår og betingelser som gjelder kontoen min og den spesifikke initiativtakeren,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,tilbakevendende via SEPA Autogiro,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,"Det oppsto en feil under behandlingen av forespørselen din. Velg en annen betalingsmåte, eller prøv på nytt.",An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,Du må legge til en betalingsmåte for å oppdatere abonnementet.,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,TØMME,EMPTY,field empty
hp_v3.portal.ach.setup,Sett opp ACH,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,Sparer,Saving,Saving
hp_v3.pm.ideal_disclaimer,<li> Du vil bli sendt til banksiden for å autentisere betalingen via iDeal. </li> <li> Gjentatte betalinger vil bli gjort via SEPA direkte belastning. </li>,<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,iDEAL disclaimer
hp_v3.direct_debit.country,Land,Country,Country
hp_v3.portal.metered_subscription.desc_without_amount,Dine kostnader basert på bruk,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.pm.sofort_desc,tilbakevendende via SEPA Autogiro,recurring via SEPA Direct Debit,Sofort desc
hp_v3.paynow.use_card_future_payments.info,Du kan bruke denne betalingsmåten for fremtidige transaksjoner.,You can use this payment method for your future transactions.,Info while saving this card for future payments
