key,value,reference value,description
not_supported_for_moved_out_resource,Oppdateringsoperasjonene støttes ikke siden vi har flyttet denne kunden til nettstedet {0},The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,"Beklager, godkjenningen mislyktes. Parameteren _jsapi_key er ikke til stede på forespørsel","Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} ressurs med identifikator {1} eksisterer ikke.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} ikke funnet,{0} not found,When resource is not found.
tos_not_agreed,Å akseptere vilkårene er obligatorisk for å fullføre kassen.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} ressurs med identifikator {1} eksisterer allerede.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,"Beklager, godkjenningen mislyktes. Ugyldig API-nøkkel","Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,"Beklager, autentisering mislyktes. Den grunnleggende autentiseringsoverskriften har ugyldig format.","Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Denne APIen er ikke tillatt for denne kunden,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} ressurs allerede til stede,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Operasjonen støttes ikke for kunder med ikke-kansellerte abonnementer.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,Verdien som allerede er tilstede i {0},The value already present in {0},The value already present in {0}
api_disabled,Nettstedet er ikke aktivert,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Beklager, parameteren støttes ikke fra nettleseren.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,Den {0} refererte i parameteren {1} er ikke til stede,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,"Beklager, godkjenningen mislyktes. Autorisasjonsoverskriften for grunnleggende autentisering er ikke tilgjengelig på forespørsel","Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Beklager, vennligst aktiver innstillingen for ordrehåndtering for å bruke dette API-et.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Beklager, grensen for API-forespørsel er nådd. Prøv etter {0} min.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Beklager, begrensningsbegrensningen for js-biblioteket er nådd. Prøv etter en gang.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Denne URL-en er ikke lenger gyldig. Kontakt oss for hjelp.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Oppdateringsoperasjonene er ikke lenger mulig for denne ressursen. Kontakt oss for hjelp.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"Beklager, men {0} ressursen {1} er allerede planlagt slettet","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,Operasjonen støttes ikke for kunder som allerede er planlagt for PII-sletting.,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
