key,value,reference value,description
invalid_charge_start_and_end,Ugyldig periode gikk ut. line_item.date_from må være før line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to
xero_build_inprogress,Xero-integrering er midlertidig deaktivert for vedlikehold. Dette skal være over på få minutter. Prøv etter en gang.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.
invalid_invoice_amount,Fakturabeløpet {0} skal være større enn null,Invoice Amount {0} should be greater than zero,Invoice Amount {0} should be greater than zero
record_payment_not_supported,{0},{0},{0}
max_size_reached,Overskred maksimumsgrensen for kortbetalinger for refusjon,Exceeded maximum limit of card payments to refund,Exceeded maximum limit of card payments to refund
recurring_addon_not_supported,Gjentakende tillegg kan ikke legges til ventende faktura.,Recurring addon cannot be added to pending invoice.,Recurring addon cannot be added to pending invoice.
hp_product_type_mismatch,"Beklager, vi kan ikke behandle forespørselen din. Ta kontakt med selger / selger.","Sorry, we are unable process your request. Please get in touch with the seller/merchant.","Sorry, we are unable process your request. Please get in touch with the seller/merchant."
invalid_payment_amount,{0},{0},{0}
refund_amount_too_big,Det angitte beløpet er større enn den tillatte grensen '{0}',Specified amount is greater than the allowed limit ''{0}'' ,The refund amount is greater than the invoice amount
invalid_invoice_state,{0},{0},{0}
xero_disabled,Xero-integrering er deaktivert for nettstedet ditt. Ta kontakt med support@chargebee.com for mer informasjon og hjelp.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.
no_card_present_for_refund,Kan ikke behandle forespørsel ettersom betalingsmåten som ble brukt for denne transaksjonen er blitt ryddet.,Cannot process request as the payment method used for this transaction has been cleared.,Cannot process request as the payment method used for this transaction has been cleared.
insufficient card payments,Driften kan ikke fortsette siden kundene krever forskjellige refusjoner,Operation cannot be proceed since customers different card payments are required to refund,Operation cannot be proceed since customers different card payments are required to refund
invoice_price_type,Alle linjeprodukter skal være av samme pristype (skatteeksklusiv / skatteeksklusiv).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).
referenced_line_item_not_found,Den omtalte kostnadslinjeposten {0} er ikke knyttet til fakturaen {1},The referenced charge line item {0} is not attached to invoice {1},The referenced charge line item {0} is not attached to invoice {1}
refund_failed,Refusjonsoperasjonen mislyktes. Feilmelding: {0},Refund operation failed. Error message: {0},Refund operation failed. Error message: {0}
operation_failed,{0},{0},{0}
product_type_mismatch,Du kan ikke fakturere både digitale og ikke-digitale produkter med samme faktura.,You cannot bill both digital and non-digital products using the same invoice.,You cannot bill both digital and non-digital products using the same invoice.
invoice.operation_not_suppoerted,{0},{0},{0}
address_change_not_supported,Adressen kan ikke endres ettersom den endrer den anvendte avgiften,Address cannot be changed as it changes the applied tax,Address cannot be changed as it changes the applied tax
