key,value,reference value,description
quote.label.quote_amount,Tilbudsbeløp,Quote Amount,Quote amount label
quote.label.recurring_charges,Gjentatte kostnader,Recurring charges,Recurring charges
quote.label.tax.inclusive,Inklusive,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Enhetspris,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Abonnement,Subscription,Subscription sub heading
quote.label.billing_cycle,Faktureringssyklus,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Ingen faktureringssykluser,No of billing cycles,No of billing cycles
quote.term.month,måned,month,month
quote.header.label.sub_total,Subtotal,Sub Total,Sub total
quote.term.months,måneder,months,months
quote.label.quote_date,Sitat Dato,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Betales ved prøvestart,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,MVA-detaljer,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,år,year,year
quote.title.subscription_detail,Abonnementsdetaljer,Subscription Details,Subscription Detail section heading
quote.label.include,Inkludert,Includes ,includes
quote.customer_email.request_card,Oppdater detaljene for betalingsmåten,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Inkludert rabatter og avgifter,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Sendt til,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Pris,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Kostnader ved aksept,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Betales ved aktivering av planen,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Betaling startet,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Proforma faktura,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Proforma fakturadato,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Justeringer,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12. faktureringssyklus,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11. faktureringssyklus,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10. faktureringssyklus,10th billing cycle,10th billing cycle
quote.term.weeks,uker,weeks,weeks
quote.billing_cycle.23,23. faktureringssyklus,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22. faktureringssyklus,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21. faktureringssyklus,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20. faktureringssyklus,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Faktureringsfrekvens,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16. faktureringssyklus,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15. faktureringssyklus,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14. faktureringssyklus,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13. faktureringssyklus,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19. faktureringssyklus,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18. faktureringssyklus,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17. faktureringssyklus,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30. faktureringssyklus,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34. faktureringssyklus,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33. faktureringssyklus,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32. faktureringssyklus,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31. faktureringssyklus,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27. faktureringssyklus,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26. faktureringssyklus,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25. faktureringssyklus,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24. faktureringssyklus,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29. faktureringssyklus,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28. faktureringssyklus,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41. faktureringssyklus,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40. faktureringssyklus,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45. faktureringssyklus,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44. faktureringssyklus,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43. faktureringssyklus,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42. faktureringssyklus,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,38. faktureringssyklus,38th billing cycle,38th billing cycle
quote.billing_cycle.37,37. faktureringssyklus,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36. faktureringssyklus,36th billing cycle,36th billing cycle
quote.billing_cycle.35,35. faktureringssyklus,35th billing cycle,35th billing cycle
quote.billing_cycle.39,39. faktureringssyklus,39th billing cycle,39th billing cycle
quote.billing_cycle.52,52. faktureringssyklus,52nd billing cycle,52nd billing cycle
quote.billing_cycle.51,51. faktureringssyklus,51st billing cycle,51st billing cycle
quote.billing_cycle.50,50. faktureringssyklus,50th billing cycle,50th billing cycle
quote.billing_cycle.56,56. faktureringssyklus,56th billing cycle,56th billing cycle
quote.billing_cycle.55,55. faktureringssyklus,55th billing cycle,55th billing cycle
quote.billing_cycle.54,54. faktureringssyklus,54th billing cycle,54th billing cycle
quote.billing_cycle.53,53. faktureringssyklus,53rd billing cycle,53rd billing cycle
quote.billing_cycle.49,49. faktureringssyklus,49th billing cycle,49th billing cycle
quote.billing_cycle.48,48. faktureringssyklus,48th billing cycle,48th billing cycle
quote.billing_cycle.47,47. faktureringssyklus,47th billing cycle,47th billing cycle
quote.billing_cycle.46,46. ​​faktureringssyklus,46th billing cycle,46th billing cycle
quote.billing_cycle.63,63. faktureringssyklus,63rd billing cycle,63rd billing cycle
quote.billing_cycle.62,62. faktureringssyklus,62nd billing cycle,62nd billing cycle
quote.billing_cycle.61,61. faktureringssyklus,61st billing cycle,61st billing cycle
quote.billing_cycle.60,60. faktureringssyklus,60th billing cycle,60th billing cycle
quote.billing_cycle.67,67. faktureringssyklus,67th billing cycle,67th billing cycle
quote.billing_cycle.66,66. faktureringssyklus,66th billing cycle,66th billing cycle
quote.billing_cycle.65,65. faktureringssyklus,65th billing cycle,65th billing cycle
quote.billing_cycle.64,64. faktureringssyklus,64th billing cycle,64th billing cycle
quote.billing_cycle.59,59. faktureringssyklus,59th billing cycle,59th billing cycle
quote.billing_cycle.58,58. faktureringssyklus,58th billing cycle,58th billing cycle
quote.billing_cycle.57,57. faktureringssyklus,57th billing cycle,57th billing cycle
quote.billing_cycle.74,74. faktureringssyklus,74th billing cycle,74th billing cycle
quote.billing_cycle.73,73. faktureringssyklus,73rd billing cycle,73rd billing cycle
quote.billing_cycle.72,72. faktureringssyklus,72nd billing cycle,72nd billing cycle
quote.billing_cycle.71,71. faktureringssyklus,71st billing cycle,71st billing cycle
quote.billing_cycle.78,78. faktureringssyklus,78th billing cycle,78th billing cycle
quote.billing_cycle.77,77. faktureringssyklus,77th billing cycle,77th billing cycle
quote.billing_cycle.76,76. faktureringssyklus,76th billing cycle,76th billing cycle
quote.billing_cycle.75,75. faktureringssyklus,75th billing cycle,75th billing cycle
quote.billing_cycle.70,70. faktureringssyklus,70th billing cycle,70th billing cycle
quote.billing_cycle.69,69. faktureringssyklus,69th billing cycle,69th billing cycle
quote.billing_cycle.68,68. faktureringssyklus,68th billing cycle,68th billing cycle
quote.billing_cycle.85,85. faktureringssyklus,85th billing cycle,85th billing cycle
quote.billing_cycle.84,84. faktureringssyklus,84th billing cycle,84th billing cycle
quote.billing_cycle.83,83. faktureringssyklus,83rd billing cycle,83rd billing cycle
quote.billing_cycle.82,82. faktureringssyklus,82nd billing cycle,82nd billing cycle
quote.billing_cycle.89,89. faktureringssyklus,89th billing cycle,89th billing cycle
quote.billing_cycle.88,88. faktureringssyklus,88th billing cycle,88th billing cycle
quote.billing_cycle.87,87. faktureringssyklus,87th billing cycle,87th billing cycle
quote.billing_cycle.86,86. faktureringssyklus,86th billing cycle,86th billing cycle
quote.billing_cycle.81,81. faktureringssyklus,81st billing cycle,81st billing cycle
quote.billing_cycle.80,80. faktureringssyklus,80th billing cycle,80th billing cycle
quote.billing_cycle.79,79. faktureringssyklus,79th billing cycle,79th billing cycle
quote.billing_cycle.96,96. faktureringssyklus,96th billing cycle,96th billing cycle
quote.billing_cycle.95,95. faktureringssyklus,95th billing cycle,95th billing cycle
quote.billing_cycle.94,94. faktureringssyklus,94th billing cycle,94th billing cycle
quote.billing_cycle.93,93. faktureringssyklus,93rd billing cycle,93rd billing cycle
