key,value,reference value,description
card_orders.order.id,Identyfikator zamówienia,Order ID,
button.update_payment_method,Zaktualizuj metodę płatności,Update Payment Method,
button.extend_subscription,Przedłuż subskrypcję,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,adres wysyłki,Shipping Address,
button.retarget_hp_url,Dokończ zakup,Complete Your Purchase,
button.reset_password,Zresetuj hasło,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Aktualny cykl,Current Cycle,
button.portal_verify_email,Zweryfikuj adres e-mail,Verify Email Address,
card_invoices.title,Twoje faktury,Your Invoices,
card_addresses.billing_address.full_billing_address,Adres rozliczeniowy,Billing Address,
button.pay_now,Zapłać teraz,Pay Now,
button.claim_gift,Odbierz prezent,Claim Gift,
card_orders.order.shipment_carrier,Przewoźnik,Shipment carrier,
button.click_here,Kliknij tutaj,Click Here,
card_contract_terms.contract_term.billing_cycle,Całkowita liczba cykli rozliczeniowych,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Wybrana metoda płatności,Selected payment method,
card_orders.order.batch_id,Identyfikator partii,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,Dodatkowe Szczegóły,Additional details,
card_recurring_items.title,Twoja subskrypcja,Your Subscription,
card_contract_terms.contract_term.termination_fee,Opłata za rozwiązanie umowy,Termination fee,
card_customer.title,Twoje szczegóły,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,adres wysyłki,Shipping Address,
card_gift_message.title,Oto osobista wiadomość dla Ciebie,Here's a personal message for you,
card_orders.order.amount,Kwota zamówienia,Order Amount,
card_orders.order.shipping_date,Data dostawy,Shipment date,
card_hp_order_items.title,Pozycje w zamówieniu:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Pod koniec semestru,At Term-End,
card_orders.order.tracking_id,Identyfikator śledzenia,Tracking id,
card_recurring_items.subscription.po_number,numer PO,PO Number,
card_orders.order.note,Uwaga,Note,
card_contract_terms.title,Szczegóły umowy,Contract details,
card_contract_terms.contract_term.total_contract_value,Całkowita wartość kontraktu,Total Contract Value,
card_contract_terms.contract_term.contract_period,Okres umowy,Contract Period,
card_orders.title,Twoje zamówienie,Your order,
card_customer.customer.id,ID,ID,
