key,value,reference value,description
error.column.base_money.numeric,powinna być liczbą,should be a number,
error.invalid_expiry_info,nieprawidłowe informacje o wygaśnięciu,invalid expiry info,
error.column.number.allow_negative,nie powinno być ujemne,should not be negative,
error.column.email.main, powinien być prawidłowym adresem e-mail, should be a valid email,
error.column.number.range.min_max,powinno mieścić się w zakresie %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,nie powinien przekraczać %{max},should not exceed %{max},
error.column.number.range.max,nie powinien przekraczać %{max},should not exceed %{max},
error.column.string.length.min, powinno mieć co najmniej %{min} znaków, should have atleast %{min} characters,
error.atleast_today,Powinien być przynajmniej dzisiaj,Should be atleast today,
error.column.base_money.range.min,powinno wynosić co najmniej %{min},should be atleast %{min},
error.invalid_cvv,nieprawidłowy CVV,invalid CVV,
error.column.base_money.main, nieprawidłowy format waluty, invalid currency format,
error.column.number.range.min,powinno wynosić co najmniej %{min},should be atleast %{min},
error.column.string.length.max, nie powinien mieć więcej niż %{max} znaków, should not have more than %{max} characters,
error.presence,nie może być puste,cannot be blank,
error.wrong_format,Powinien mieć format %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, powinno mieć %{min} znaków, should be of %{min} characters,
error.date_format,Zły format daty,invalid date format,
error.column.string.length.min_max, powinno mieć od %{min} do %{max} znaków, should be between %{min} and %{max} characters,
error.column.color.main,nieprawidłowy kod koloru szesnastkowego,invalid hex color code,
error.password.format,"Twoje hasło musi mieć co najmniej 8 znaków i zawierać liczbę całkowitą, alfabet oraz znak specjalny","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,wartości dziesiętne są niedozwolone,decimal values are not allowed,
error.column.data.format_spaces, Zły format daty, Invalid date format,
error.card_number,Nieprawidłowy numer karty kredytowej,invalid credit card number,
error.register_for_gst_should_be_enabled,To jest obowiązkowe,This is mandatory,
error.column.uniqueness, %{column_name} już istnieje,%{column_name} already exists,
error.column.base_money.range.min_max,powinno mieścić się w zakresie %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,powinna być liczbą,should be a number,
error.vat_number_cannot_be_blank,Numer VAT nie może być pusty,VAT Number cannot be empty,
