key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Podając swój numer IBAN i potwierdzając tę ​​płatność, upoważniasz %{merchant_name}, wierzyciela i Stripe, naszego dostawcę usług płatniczych, do wysyłania instrukcji do Twojego banku w celu obciążenia Twojego konta, a Twojego banku do obciążania Twojego konta zgodnie z tymi instrukcjami. Masz prawo do zwrotu pieniędzy ze swojego banku zgodnie z warunkami umowy z bankiem. O zwrot kosztów należy ubiegać się w ciągu 8 tygodni od daty obciążenia konta.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Zarejestrowałem się w GST,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Instrukcja polecenia zapłaty,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Nazwa,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,zasady i warunki.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,"Zgadzam się, że to uprawnienie podlega warunkom mojego banku, które dotyczą mojego konta i konkretnego inicjatora",I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,powtarzające się za pośrednictwem polecenia zapłaty SEPA,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,Wystąpił błąd podczas przetwarzania Twojego żądania. Wybierz inną metodę płatności lub spróbuj ponownie.,An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,"Aby zaktualizować subskrypcję, musisz dodać metodę płatności.",You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,PUSTY,EMPTY,field empty
