key,value,reference value,description
taxjar_communication_failure,"Przepraszamy, nie możemy teraz połączyć się z TaxJar. Spróbuj za jakiś czas.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Operacja nie powiodła się. Nieprawidłowy status dokumentu w Avalara.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,Adres organizacyjny jest nieprawidłowy lub niekompletny. Sprawdź i spróbuj ponownie.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Podane dane logowania Avalara są nieprawidłowe.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Adres organizacyjny jest nieprawidłowy lub niekompletny. Sprawdź i spróbuj ponownie.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,Kod produktu TaxJar nie jest skonfigurowany dla towaru {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"Przepraszamy, sprawdzenie adresu {0} nie powiodło się. Sprawdź i spróbuj ponownie.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"Przepraszamy, adres wysyłki jest nieprawidłowy lub niekompletny. Sprawdź i spróbuj ponownie.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Podane dane logowania do TaxJar są nieprawidłowe.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,"Nie można wyczyścić danych logowania {0}, ponieważ są już używane. Usuń konfigurację podatku {0} przed wyczyszczeniem danych logowania {0}.",{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,"Nie można obliczyć stawki podatku, ponieważ adres dostawy / rozliczeniowy jest nieprawidłowy lub niekompletny. Sprawdź i spróbuj ponownie.",Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"Przepraszamy, ten motyw nie obsługuje {0}. Wybierz inny motyw.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,Adres rozliczeniowy jest nieprawidłowy lub niekompletny. Sprawdź i spróbuj ponownie.,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,Kod firmy skonfigurowany dla Twojego konta Avalara AvaTax jest nieaktywny lub nieobecny.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,Przed usunięciem adresu wysyłki podaj prawidłowy adres rozliczeniowy.,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,"Tego dokumentu nie można unieważnić / usunąć, ponieważ nie został on wysłany do firmy Avalara. Spróbuj ponownie za jakiś czas.",This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"Przepraszamy, w tej chwili nie możemy połączyć się z firmą Avalara. Spróbuj za jakiś czas.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Przepraszamy, coś poszło nie tak podczas przetwarzania żądania. Spróbuj za jakiś czas.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Możesz wybrać kod podmiotu Avalara lub numer zwolnienia, a nie oba.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Przepraszamy, coś poszło nie tak podczas przetwarzania żądania. Spróbuj za jakiś czas.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
