key,value,reference value,description
exceeded_allowed_coupon_code_limit,W jednym zestawie kuponów dozwolonych jest tylko {0} kodów kuponów.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,kupon nie został znaleziony lub kupon nie ma zastosowania,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,kupon {0} nie został zastosowany do tej subskrypcji,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Błąd podczas przesyłania. W wierszu {0} znaleziono zduplikowany kod kuponu.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,Kupon {0} został już wykorzystany dla tej subskrypcji,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,"Kuponu {0} nie można zastosować, ponieważ obsługiwane są tylko kupony jednorazowe",Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Nie można usunąć używanego kodu kuponu,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Niewspierany format pliku. Dozwolone są tylko pliki CSV,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Nie można usunąć wyczerpanego zestawu kuponów,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Przekazany kupon {0} został już wykorzystany {1} razy. Żadne więcej wykupów nie jest dozwolone,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,W kodzie kuponu w wierszu {1} znaleziono więcej niż {0} znaków,More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Nie znaleziono takiego kuponu,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,nazwa zestawu kuponów istnieje już dla innego kuponu.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,"Co najmniej jeden kupon zawiera więcej niż {0} odpowiednich pozycji. Aby uzyskać więcej informacji, skontaktuj się z support@chargebee.com.",One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Nieprawidłowy stan subskrypcji do zastosowania / zmiany kuponu,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,Tylko {0} zestawów kuponów dozwolonych na kupon.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Nie można zarchiwizować wykorzystanego kodu kuponu,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,"Tego kuponu nie można zastosować do tej subskrypcji. Aby uzyskać więcej informacji, skontaktuj się ze sprzedawcą.",This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,Nie ma takiego kuponu {0} do zrealizowania,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,"Kuponu {0} nie można zastosować, ponieważ nie ma zastosowania do żadnej z pozycji",Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,W pliku nie znaleziono kodów kuponów.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,Zastosowany kupon {0} stracił już ważność w dniu {1},Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,W tej subskrypcji nie zastosowano żadnych kuponów,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,Nie udało się odczytać treści w pliku CSV.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Nieprawidłowy kod kuponu,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Kod kuponu nie dotyczy tego kuponu,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Kod kuponu już istnieje. Duplikat nie jest dozwolony,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
