key,value,reference value,description
sub_start_outside_plan_term,Data rozpoczęcia subskrypcji nie może być wcześniejsza niż okres rozliczeniowy.,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,nie może być późniejsza niż data cancelled_at ({0}).,cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,"Problem z rabatami. Aby uzyskać więcej informacji, skontaktuj się z pomocą techniczną.",Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,Koniec okresu próbnego nie może przypadać przed datą rozpoczęcia,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,"Subskrypcji nie można zaktualizować, ponieważ zostanie anulowana pod koniec bieżącego okresu",Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,Subskrypcję można aktualizować tylko w stanach Trial i Active,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,nie może być puste dla subskrypcji {0},cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,"Nie można zaplanować anulowania, jeśli subskrypcja jest wstrzymana lub zaplanowana do wstrzymania.",Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,"{0} jest obowiązkowe, aby korzystać z {1} polecenia zapłaty za pośrednictwem {2}",{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,Powinien być obecny przynajmniej jeden jednorazowy dodatek lub element obciążenia,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,Metoda tymczasowego tokena karty nie jest obsługiwana w przypadku tej bramy,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
non_compliant_eu_customer,"Operacja nie powiodła się, ponieważ kraju UE wprowadzonego przez klienta w adresie rozliczeniowym nie można zweryfikować na podstawie adresu IP lub numeru pojemnika na kartę.",Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,"Nie możesz wznowić subskrypcji, ponieważ nie masz aktywnej metody płatności.",Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
no_creditcard_for_create,"Nie można utworzyć subskrypcji, ponieważ w pliku nie ma ważnej karty",Cannot create the subscription as there is no valid card on file,Cannot create the subscription as there is no valid card on file
