key,value,reference value,description
line_item.coupon.non_discount_all, %{coupon_details} z %{disc_amt} zastosowanych do %{line_items} elementów zamówienia.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular, %{coupon_details} z %{disc_amt} zastosowano do elementu zamówienia %{line_items}.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} zastosowano do elementu zamówienia %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Dodano pozostałe kredyty,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Opłaty proporcjonalne,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} zastosowano do %{line_items} elementów zamówienia - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Kredyty proporcjonalne za %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, Darmowa ilość, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} zastosowano do elementów zamówienia %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount} na %{unit} jednostek,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,Łączna liczba jednostek - %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,Usunięto dodatkowe kredyty,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,<b> %{coupon_details} %{disc_amt} zniżki </b> zgłoszono do %{line_item_desc}.,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Opłata instalacyjna,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Kredyty proporcjonalne,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Zwrócone kredyty promocyjne,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Kredyty promocyjne,Promotional Credits,promotional credits given for a line item
cn.discount.text,Rabaty lub kredyty zastosowane na tej fakturze,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Zwrócone kredyty proporcjonalne,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Korekcja ułamkowa,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} z %{disc_amt} zastosowano do elementów zamówienia %{line_items}.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,jednostki,units,units
