key,value,reference value,description
quote.label.quote_amount,Kwota wyceny,Quote Amount,Quote amount label
quote.label.recurring_charges,Opłaty cykliczne,Recurring charges,Recurring charges
quote.label.tax.inclusive,Włącznie,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Cena jednostkowa,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Subskrypcja,Subscription,Subscription sub heading
quote.label.billing_cycle,Cykl rozliczeniowy,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Liczba cykli rozliczeniowych,No of billing cycles,No of billing cycles
quote.term.month,miesiąc,month,month
quote.header.label.sub_total,Suma cząstkowa,Sub Total,Sub total
quote.term.months,miesięcy,months,months
quote.label.quote_date,Data wyceny,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Płatne przy rozpoczęciu okresu próbnego,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Szczegóły dotyczące podatku VAT,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,rok,year,year
quote.title.subscription_detail,Szczegóły subskrypcji,Subscription Details,Subscription Detail section heading
quote.label.include,Inclusivedes,Includes ,includes
quote.customer_email.request_card,Zaktualizuj szczegóły metody płatności,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Zawiera zniżki i podatki,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Wysłano do,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Cena £,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Opłaty przy odbiorze,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Płatne w momencie aktywacji planu,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Zainicjowano płatność,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Faktura pro forma,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Data faktury Proforma,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Korekty,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12. cykl rozliczeniowy,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11. cykl rozliczeniowy,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10. cykl rozliczeniowy,10th billing cycle,10th billing cycle
quote.term.weeks,tygodni,weeks,weeks
quote.billing_cycle.23,23. cykl rozliczeniowy,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22. cykl rozliczeniowy,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21. cykl rozliczeniowy,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20. cykl rozliczeniowy,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Częstotliwość rozliczeń,Billing Frequency,Billing Frequency
quote.billing_cycle.16,Szesnasty cykl rozliczeniowy,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15 cykl rozliczeniowy,15th billing cycle,15th billing cycle
quote.billing_cycle.14,Czternasty cykl rozliczeniowy,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13. cykl rozliczeniowy,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19 cykl rozliczeniowy,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18. cykl rozliczeniowy,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17 cykl rozliczeniowy,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30. cykl rozliczeniowy,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34. cykl rozliczeniowy,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33. cykl rozliczeniowy,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32. cykl rozliczeniowy,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31. cykl rozliczeniowy,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27. cykl rozliczeniowy,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26. cykl rozliczeniowy,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25 cykl rozliczeniowy,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24. cykl rozliczeniowy,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29 cykl rozliczeniowy,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28 cykl rozliczeniowy,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41. cykl rozliczeniowy,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40. cykl rozliczeniowy,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45 cykl rozliczeniowy,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44 cykl rozliczeniowy,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43. cykl rozliczeniowy,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42. cykl rozliczeniowy,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,38 cykl rozliczeniowy,38th billing cycle,38th billing cycle
quote.billing_cycle.37,37. cykl rozliczeniowy,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36. cykl rozliczeniowy,36th billing cycle,36th billing cycle
