key,value,reference value,description
account.first_name.label,Nome,First Name,
account.first_name.help,,,
account.last_name.label,Apelido,Last Name,
account.last_name.help,,,
account.email.label,Email,Email,
account.email.help,,,
account.company.label,Empresa,Company,
account.company.help,,,
account.phone.label,Telefone,Phone,
account.phone.help,,,
billing.first_name.label,Nome,First Name,
billing.first_name.help,,,
billing.last_name.label,Apelido,Last Name,
billing.last_name.help,,,
billing.email.label,Email,Email,
billing.email.help,,,
billing.phone.label,Telefone,Phone,
billing.phone.help,,,
billing.company.label,Empresa,Company,
billing.company.help,,,
billing.line1.label,Morada linha1,Address Line1,
billing.line1.help,,,
billing.line2.label,Morada linha2,Address Line2,
billing.line2.help,,,
billing.line3.label,Morada linha3,Address Line3,
billing.line3.help,,,
billing.city.label,Cidade,City,
billing.city.help,,,
billing.zip.label,Código postal,Zip,
billing.zip.help,,,
billing.country.label,País,Country,
billing.country.help,,,
billing.region.label,Concelho,State,
billing.region.help,,,
billing.state_code.label,Concelho,State,
billing.state_code.help,,,
tax.vat_number.label, Número de identificação fiscal,VAT Number,
tax.vat_number.help,Inserir número de identificação fiscal,,
tax.registered_for_gst.label,Registei-me para GST (imposto de bens e serviços),I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Nome,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Apelido,Last Name,
shipping.last_name.help,,,
shipping.email.label,Email,Email,
shipping.email.help,,,
shipping.phone.label,Telefone,Phone,
shipping.phone.help,,,
shipping.company.label,Empresa,Company,
shipping.company.help,,,
shipping.line1.label,Morada linha1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Morada linha2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Morada linha3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Cidade,City,
shipping.city.help,,,
shipping.zip.label,Código postal,Zip,
shipping.zip.help,,,
shipping.country.label,País,Country,
shipping.country.help,,,
shipping.region.label,Concelho,State,
shipping.region.help,,,
shipping.state_code.label,Concelho,State,
shipping.state_code.help,,,
gift.first_name.label,Nome,First Name,
gift.first_name.help,,,
gift.last_name.label,Apelido,Last Name,
gift.last_name.help,,,
gift.email.label,E-mail,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,De quem devemos dizer que é,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Data,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Hora,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Nome,First Name,
card.first_name.help,,,
card.last_name.label,Apelido,Last Name,
card.last_name.help,,,
card.number.label,Número do cartão,Number,
card.number.help,,,
card.expiry.label,Data de validade,Expiry,
card.expiry.help,,,
card.expiry_year.label,Data de validade,Expiry,
card.expiry_year.help,,,
card.cvv.label,CVV,Cvv,
card.cvv.help,(Os últimos 3 ou 4 dígitos do número de verificação do cartão na parte de trás do seu cartão),,
card.billing_addr1.label,Morada do cartão linha 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Morada do cartão linha 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Cidade da morada do cartão,City,
card.billing_city.help,,,
card.billing_zip.label,Código postal da morada do cartão,Zip,
card.billing_zip.help,,,
card.billing_country.label,País da morada do cartão,Country,
card.billing_country.help,,,
card.billing_region.label,Concelho da morada do cartão,State,
card.billing_region.help,,,
card.billing_state_code.label,Concelho,State,
card.billing_state_code.help,,,
