key,value,reference value,description
credit_note.label.credit_note,Nota de credit,Credit Note,The title credit note
credit_note.header.label.units,Unități,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,Rambursări,Refunds,Refunds
credit_note.label.sub_total,Subtotal,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,Acesta este un eșantion de notă de credit generată de Chargebee,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,Rambursări și alocări,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,Livrat catre,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,Preț unitar,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,Corecție fracțională,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Codul motivului,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text, %{amount} a fost rambursat la %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,inclusiv,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,Data,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,exclusiv,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,Preț,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Total,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,Alocări,Allocations,Allocations
credit_note.label.round_off,Rotunji,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,Rambursări,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,Ref Factură,Ref Invoice,testing
credit_note.label.due,Suma disponibilă,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,TVA inclus,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Facturat către,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Alocări,Allocations,Credit note label indicating the allocations
credit_note.label.amount,Cantitate,Amount,Label amount
credit_note.header.label.amount,Cantitate,Amount,Amount label
credit_note.applied_transaction.text, %{amount} a fost alocat pentru factura „ %{invoice_number}” la %{date}.,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,Număr de înregistrare client,Customer ID,Label customer id
credit_note.header.label.sub_total,Subtotal,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Impozit,Tax,Tax
credit_note.header.label.discounts,Reducere,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,TVA exclusiv,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Descriere,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Abonament,Subscription,The label subscription - All the subscription details follow the label
