key,value,reference value,description
sub_details_card.metered_item.footnote,Cantitatea poate varia în funcție de utilizare în perioada de facturare.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,Primești acest e-mail deoarece plătești abonamentele și taxele acestui client,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Acest link va expira în 7 zile.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Unități,Units,
card_offline_pm.instruction.text,Vă rugăm să vă asigurați că sunteți gata cu suma exactă la sosirea agentului nostru de service.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Puteți descărca și vizualiza detaliile aici. Acest link va expira în 7 zile.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,Primești acest e-mail deoarece ești părintele acestui client.,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Această factură a fost plătită de contul dvs. părinte,This invoice was paid by your parent account,
download_attachments_note.link_text,Descarca,Download,
invoice_details_card.download_link.text,Descărcați și vizualizați toate una sau mai multe facturi,Download and view all invoices,
