key,value,reference value,description
error.column.base_money.numeric,ar trebui să fie un număr,should be a number,
error.invalid_expiry_info,informații de expirare nevalide,invalid expiry info,
error.column.number.allow_negative,nu ar trebui să fie negativ,should not be negative,
error.column.email.main, ar trebui să fie un e-mail valid, should be a valid email,
error.column.number.range.min_max,ar trebui să fie în intervalul %{min} și %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,nu trebuie să depășească %{max},should not exceed %{max},
error.column.number.range.max,nu trebuie să depășească %{max},should not exceed %{max},
error.column.string.length.min, ar trebui să aibă cel puțin %{min} caractere, should have atleast %{min} characters,
error.atleast_today,Ar trebui să fie cel puțin astăzi,Should be atleast today,
error.column.base_money.range.min,ar trebui să fie cel puțin %{min},should be atleast %{min},
error.invalid_cvv,CVV invalid,invalid CVV,
error.column.base_money.main, format valutar nevalid, invalid currency format,
error.column.number.range.min,ar trebui să fie cel puțin %{min},should be atleast %{min},
error.column.string.length.max, nu trebuie să aibă mai mult de %{max} caractere, should not have more than %{max} characters,
error.presence,nu poate fi gol,cannot be blank,
error.wrong_format,Ar trebui să fie în format %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, ar trebui să conțină %{min} caractere, should be of %{min} characters,
error.date_format,format de dată nevalid,invalid date format,
error.column.string.length.min_max, ar trebui să aibă între %{min} și %{max} caractere, should be between %{min} and %{max} characters,
error.column.color.main,cod de culoare hexagonal nevalid,invalid hex color code,
error.password.format,"Parola dvs. trebuie să aibă cel puțin 8 caractere și să conțină un număr întreg, un alfabet și un caracter special","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,valorile zecimale nu sunt permise,decimal values are not allowed,
error.column.data.format_spaces, Format de dată nevalid, Invalid date format,
error.card_number,număr de card de credit invalid,invalid credit card number,
error.register_for_gst_should_be_enabled,Acest lucru este obligatoriu,This is mandatory,
error.column.uniqueness, %{column_name} există deja,%{column_name} already exists,
error.column.base_money.range.min_max,ar trebui să fie în intervalul %{min} și %{max},should be in the range %{min} & %{max},
error.column.number.main,ar trebui să fie un număr,should be a number,
error.vat_number_cannot_be_blank,Numărul TVA nu poate fi gol,VAT Number cannot be empty,
