key,value,reference value,description
exceeded_allowed_coupon_code_limit,Sunt permise numai {0} coduri de cupoane pentru fiecare set de cupoane.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,cuponul nu a fost găsit sau nu este un cupon aplicabil,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,cuponul {0} nu a fost aplicat la acest abonament,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Eroare la încărcare. Codul cuponului duplicat a fost găsit la rândul {0}.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,Cuponul {0} este deja valorificat pentru acest abonament,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,Cuponul {0} nu poate fi aplicat deoarece sunt acceptate doar cupoane unice,Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Nu se poate șterge codul cuponului folosit,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Format de fișier neacceptat. Sunt permise numai fișierele CSV,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Nu se poate șterge setul de cupoane epuizat,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Cuponul trecut {0} a fost deja valorificat {1} ori. Nu mai sunt permise răscumpărări,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,Mai mult de {0} caractere se găsesc la codul cuponului din rândul {1},More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Nu a fost găsit un astfel de cupon,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,numele setului de cupoane există deja pentru un alt cupon.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,Unul sau mai multe cupoane conține mai mult de {0} articole aplicabile. Vă rugăm să contactați support@chargebee.com pentru mai multe detalii.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Stare de abonament nevalidă pentru a aplica / modifica cuponul,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,Sunt permise numai {0} seturi de cupoane pentru fiecare cupon.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Nu se poate arhiva un cod de cupon valorificat,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,Acest cupon nu poate fi aplicat pentru acest abonament. Vă rugăm să contactați vânzătorul pentru mai multe detalii.,This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,Nu există un astfel de cupon {0} de valorificat,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,Cuponul {0} nu poate fi aplicat deoarece nu se aplică niciunui articol,Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,Nu s-au găsit coduri de cupoane în fișier.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,Cuponul aplicat {0} a expirat deja pe {1},Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,Nu s-au aplicat cupoane pentru acest abonament,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,Nu s-a putut citi conținutul din fișierul CSV.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Cod cupon nevalid,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Codul cuponului nu se aplică pentru acest cupon,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Codul cuponului există deja. Duplicatul nu este permis,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
