key,value,reference value,description
minimal.card.page_heading,Vă mulțumim că ați actualizat detaliile metodei de plată!,Thank you for updating your payment method details!,Thank you for updating your payment method details!
rhapsody.header.title,Serviciul meu minunat de abonament,My awesome subscription service,My awesome subscription service
minimal.checkout.page_title,Verifică,Checkout,Checkout
elegant.checkout.page_heading,Multumesc pentru abonare!,Thank you for subscribing!,Thank you for subscribing!
inspire.portal.page_title,Portalul clienților,Customer Portal,Customer Portal
rhapsody.footer.content,Toate drepturile rezervate. Copyright © 2015.,All Right Reserved. Copyright &copy; 2015.,All Right Reserved. Copyright &copy; 2015.
minimal.thankyou.page_title,Mulțumesc,Thank You,Thank You
elegant.thankyou.page_heading,V-ați înscris cu succes!,You've successfully signed up!,You've successfully signed up!
elegant.customer_portal.page_title,Portalul clienților,Customer Portal,Customer Portal
rhapsody.thankyou.page_heading,V-ați înscris cu succes!,You've successfully signed up!,You've successfully signed up!
elegant.checkout.aside_content,<h4> Apreciem confidențialitatea dvs. </h4> <p> Nu vom vinde sau distribui informațiile dvs. de contact. Citiți Politica noastră de confidențialitate. </p> <hr> <h4> Cereri de facturare </h4> <p> Nu ezitați să contactați echipa noastră de asistență dacă aveți întrebări. </p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
minimal.footer.content,Toate drepturile rezervate. Copyright © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.header.title,Serviciul meu minunat de abonament,My awesome subscription service,My awesome subscription service
rhapsody.thankyou.content,Informațiile contului dvs. au fost trimise la adresa dvs. de e-mail.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
minimal.header.title,Serviciul meu minunat de abonament,My awesome subscription service,My awesome subscription service
minimal.customer_portal.page_title,Portalul clienților,Customer Portal,Customer Portal
inspire.thankyou.page_title,Mulțumesc,Thank You,Thank You
minimal.card.aside_content,<p> Rețineți că aceasta este doar o actualizare a metodei dvs. de plată. </p> <p> Vă vom factura conform configurației dvs. de facturare existente. </p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
minimal.thankyou.content,Informațiile contului dvs. au fost trimise la adresa dvs. de e-mail.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.aside_content,<p> Rețineți că aceasta este doar o actualizare a metodei dvs. de plată. </p> <p> Vă vom factura conform configurației dvs. de facturare existente. </p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
elegant.card.page_heading,Vă mulțumim că ați actualizat detaliile metodei de plată!,Thank you for updating your payment method details!,Thank you for updating your payment method details!
minimal.card.page_title,Actualizați metoda de plată,Update your payment method,Update your payment method
inspire.thankyou.content,"<div class=""text-center""> <h3> V-ați înscris cu succes! </h3> <p> Informațiile contului dvs. au fost trimise la adresa dvs. de e-mail. </p> </div>",<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>
minimal.checkout.page_heading,Multumesc pentru abonare!,Thank you for subscribing!,Thank you for subscribing!
rhapsody.card.page_title,Actualizați metoda de plată,Update your payment method,Update your payment method
rhapsody.checkout.page_title,Verifică,Checkout,Checkout
rhapsody.thankyou.page_title,Mulțumesc,Thank You,Thank You
elegant.checkout.page_title,Verifică,Checkout,Checkout
elegant.thankyou.content,Informațiile contului dvs. au fost trimise la adresa dvs. de e-mail.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_title,Actualizați metoda de plată,Update your payment method,Update your payment method
rhapsody.customer_portal.page_title,Portalul clienților,Customer Portal,Customer Portal
minimal.thankyou.page_heading,V-ați înscris cu succes!,You've successfully signed up!,You've successfully signed up!
elegant.footer.content,Toate drepturile rezervate. Copyright © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.thankyou.page_title,Mulțumesc,Thank You,Thank You
inspire.card.page_title,Actualizați metoda de plată,Update your payment method,Update your payment method
inspire.header.title,Numele Companiei,Company Name,Company Name
inspire.checkout.page_title,Verifică,Checkout,Checkout
minimal.checkout.aside_content,<h4> Apreciem confidențialitatea dvs. </h4> <p> Nu vom vinde sau distribui informațiile dvs. de contact. Citiți politica noastră de confidențialitate. </p> <hr> <h4> Cereri de facturare </h4> <p> Nu ezitați să contactați echipa noastră de asistență dacă aveți întrebări. </p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
