key,value,reference value,description
quote.label.quote_amount,Suma citatului,Quote Amount,Quote amount label
quote.label.recurring_charges,Taxe recurente,Recurring charges,Recurring charges
quote.label.tax.inclusive,Inclusiv,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Preț unitar,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Abonament,Subscription,Subscription sub heading
quote.label.billing_cycle,Ciclu de facturare,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Numărul de cicluri de facturare,No of billing cycles,No of billing cycles
quote.term.month,lună,month,month
quote.header.label.sub_total,Subtotal,Sub Total,Sub total
quote.term.months,luni,months,months
quote.label.quote_date,Data citatului,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Se percepe la începutul perioadei de încercare,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Detalii TVA,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,an,year,year
quote.title.subscription_detail,Detalii abonament,Subscription Details,Subscription Detail section heading
quote.label.include,Inclusiv,Includes ,includes
quote.customer_email.request_card,Actualizați detaliile metodei de plată,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Include reduceri și taxe,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Livrat catre,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Preț,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Taxe la acceptare,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Se taxează la activarea planului,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Plata inițiată,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Factură proformă,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Data facturii Proforma,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Ajustări,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,Al 12-lea ciclu de facturare,12th billing cycle,12th billing cycle
quote.billing_cycle.11,Al 11-lea ciclu de facturare,11th billing cycle,11th billing cycle
quote.billing_cycle.10,Al 10-lea ciclu de facturare,10th billing cycle,10th billing cycle
quote.term.weeks,săptămâni,weeks,weeks
quote.billing_cycle.23,Al 23-lea ciclu de facturare,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,Cel de-al 22-lea ciclu de facturare,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,Cel de-al 21-lea ciclu de facturare,21st billing cycle,21st billing cycle
quote.billing_cycle.20,Cel de-al 20-lea ciclu de facturare,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Frecvența de facturare,Billing Frequency,Billing Frequency
quote.billing_cycle.16,Al 16-lea ciclu de facturare,16th billing cycle,16th billing cycle
quote.billing_cycle.15,Al 15-lea ciclu de facturare,15th billing cycle,15th billing cycle
quote.billing_cycle.14,Al 14-lea ciclu de facturare,14th billing cycle,14th billing cycle
quote.billing_cycle.13,Al 13-lea ciclu de facturare,13th billing cycle,13th billing cycle
quote.billing_cycle.19,Al 19-lea ciclu de facturare,19th billing cycle,19th billing cycle
quote.billing_cycle.18,Al 18-lea ciclu de facturare,18th billing cycle,18th billing cycle
quote.billing_cycle.17,Cel de-al 17-lea ciclu de facturare,17th billing cycle,17th billing cycle
quote.billing_cycle.30,Al 30-lea ciclu de facturare,30th billing cycle,30th billing cycle
quote.billing_cycle.34,Cel de-al 34-lea ciclu de facturare,34th billing cycle,34th billing cycle
quote.billing_cycle.33,Al 33-lea ciclu de facturare,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,Cel de-al 32-lea ciclu de facturare,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,Cel de-al 31-lea ciclu de facturare,31st billing cycle,31st billing cycle
quote.billing_cycle.27,Al 27-lea ciclu de facturare,27th billing cycle,27th billing cycle
quote.billing_cycle.26,Al 26-lea ciclu de facturare,26th billing cycle,26th billing cycle
quote.billing_cycle.25,Cel de-al 25-lea ciclu de facturare,25th billing cycle,25th billing cycle
quote.billing_cycle.24,Cel de-al 24-lea ciclu de facturare,24th billing cycle,24th billing cycle
quote.billing_cycle.29,Al 29-lea ciclu de facturare,29th billing cycle,29th billing cycle
quote.billing_cycle.28,Al 28-lea ciclu de facturare,28th billing cycle,28th billing cycle
quote.billing_cycle.41,Cel de-al 41-lea ciclu de facturare,41st billing cycle,41st billing cycle
quote.billing_cycle.40,Cel de-al 40-lea ciclu de facturare,40th billing cycle,40th billing cycle
quote.billing_cycle.45,Al 45-lea ciclu de facturare,45th billing cycle,45th billing cycle
quote.billing_cycle.44,Al 44-lea ciclu de facturare,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43 ciclu de facturare,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,Cel de-al 42-lea ciclu de facturare,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,Cel de-al 38-lea ciclu de facturare,38th billing cycle,38th billing cycle
quote.billing_cycle.37,Cel de-al 37-lea ciclu de facturare,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36 ciclu de facturare,36th billing cycle,36th billing cycle
quote.billing_cycle.35,Cel de-al 35-lea ciclu de facturare,35th billing cycle,35th billing cycle
quote.billing_cycle.39,Cel de-al 39-lea ciclu de facturare,39th billing cycle,39th billing cycle
quote.billing_cycle.52,52 ciclu de facturare,52nd billing cycle,52nd billing cycle
quote.billing_cycle.51,Cel de-al 51-lea ciclu de facturare,51st billing cycle,51st billing cycle
quote.billing_cycle.50,Cel de-al 50-lea ciclu de facturare,50th billing cycle,50th billing cycle
quote.billing_cycle.56,56 ciclu de facturare,56th billing cycle,56th billing cycle
quote.billing_cycle.55,Cel de-al 55-lea ciclu de facturare,55th billing cycle,55th billing cycle
quote.billing_cycle.54,54 ciclu de facturare,54th billing cycle,54th billing cycle
quote.billing_cycle.53,53 ciclu de facturare,53rd billing cycle,53rd billing cycle
quote.billing_cycle.49,Al 49-lea ciclu de facturare,49th billing cycle,49th billing cycle
quote.billing_cycle.48,Al 48-lea ciclu de facturare,48th billing cycle,48th billing cycle
quote.billing_cycle.47,Cel de-al 47-lea ciclu de facturare,47th billing cycle,47th billing cycle
quote.billing_cycle.46,Cel de-al 46-lea ciclu de facturare,46th billing cycle,46th billing cycle
quote.billing_cycle.63,63 ciclu de facturare,63rd billing cycle,63rd billing cycle
quote.billing_cycle.62,62 ciclu de facturare,62nd billing cycle,62nd billing cycle
quote.billing_cycle.61,61 ciclu de facturare,61st billing cycle,61st billing cycle
quote.billing_cycle.60,Cel de-al 60-lea ciclu de facturare,60th billing cycle,60th billing cycle
quote.billing_cycle.67,67 ciclu de facturare,67th billing cycle,67th billing cycle
quote.billing_cycle.66,Cel de-al 66-lea ciclu de facturare,66th billing cycle,66th billing cycle
quote.billing_cycle.65,Al 65-lea ciclu de facturare,65th billing cycle,65th billing cycle
quote.billing_cycle.64,64 ciclu de facturare,64th billing cycle,64th billing cycle
quote.billing_cycle.59,Cel de-al 59-lea ciclu de facturare,59th billing cycle,59th billing cycle
quote.billing_cycle.58,58 ciclu de facturare,58th billing cycle,58th billing cycle
