key,value,reference value,description
cbjs_grp.bank,bancă,Bank,Bank
cbjs_grp.select_bank,Selectați Banca,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Se preia lista băncilor acceptate,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Adăugați detaliile contului,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Editarea detaliilor contului,Editing account details,Editing account details
inapp_checkout.customer.update,Actualizați,Update,Update
inapp_checkout.customer.next,Următorul,Next,Next
inapp_checkout.billing_address.header,Adăugați adresa de facturare,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Editarea adresei de facturare,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Actualizați,Update,Update
inapp_checkout.billing_address.next,Următorul,Next,Next
inapp_checkout.shipping_address.header,Adăugați adresa de expediere,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Se editează adresa de expediere,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Actualizați,Update,Update
inapp_checkout.shipping_address.next,Următorul,Next,Next
inapp_checkout.choose_sa.header,Alegeți adresa de expediere,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Expediați la adresa de facturare,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Adăuga nou,Add New,Add New
inapp_checkout.payment_method.choose.add,Adăugați o metodă de plată,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Adăugați detaliile de plată,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Editarea detaliilor de plată,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Selectati o metoda de plata,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Alegeți o altă metodă de plată,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Actualizați,Update,Update
inapp_checkout.payment_method.next,Următorul,Next,Next
inapp_checkout.subscription.header,Adăugați detaliile abonamentului,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Adăugați detaliile achiziției,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Editarea detaliilor abonamentului,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Editarea detaliilor achiziției,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Actualizați,Update,Update
inapp_checkout.invoice.update,Actualizați,Update,Update
inapp_checkout.subscription.next,Următorul,Next,Next
inapp_checkout.invoice.next,Următorul,Next,Next
inapp_checkout.review.header,Completați comanda,Complete your order,Complete your order
inapp_checkout.pay_review.header,Completați comanda,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Plătiți %{amount} și abonați-vă,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Abonati-va,Subscribe,Subscribe
inapp_checkout.review.order.header,Comanda Rezumat,Order summary,Order summary
inapp_checkout.review.account.header,Cont,Account,Account
inapp_checkout.review.billing.header,Facturare,Billing,Billing
inapp_checkout.review.shipping.header,livrare,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Facturare și expediere,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Detalii abonament,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Detalii achiziție,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Plată,Payment,Payment
inapp_checkout.review.more,Detalii recenzie,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Alegeți adresa de expediere,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Alege metoda de plata,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,aplica,Apply,Apply
inapp_checkout.coupon.label,Aplicați cuponul,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Introdu codul cuponului,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Editați comanda,Edit order,Edit order
inapp_checkout.cart.header,Comanda dumneavoastră,Your order,Your order
