key,value,reference value,description
error.column.base_money.numeric,должно быть число,should be a number,
error.invalid_expiry_info,неверная информация об истечении срока действия,invalid expiry info,
error.column.number.allow_negative,не должно быть отрицательным,should not be negative,
error.column.email.main, должен быть действующий адрес электронной почты, should be a valid email,
error.column.number.range.min_max,должно быть в диапазоне %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,не должно превышать %{max},should not exceed %{max},
error.column.number.range.max,не должно превышать %{max},should not exceed %{max},
error.column.string.length.min, должно быть не менее %{min} символов, should have atleast %{min} characters,
error.atleast_today,Должно быть по крайней мере сегодня,Should be atleast today,
error.column.base_money.range.min,должно быть не менее %{min},should be atleast %{min},
error.invalid_cvv,неверный CVV,invalid CVV,
error.column.base_money.main, неверный формат валюты, invalid currency format,
error.column.number.range.min,должно быть не менее %{min},should be atleast %{min},
error.column.string.length.max, не должно содержать более %{max} символов, should not have more than %{max} characters,
error.presence,не может быть пустым,cannot be blank,
error.wrong_format,Должен быть в формате %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, должно состоять из %{min} символов, should be of %{min} characters,
error.date_format,Недопустимый формат даты,invalid date format,
error.column.string.length.min_max, должно быть от %{min} до %{max} символов, should be between %{min} and %{max} characters,
error.column.color.main,неверный шестнадцатеричный цветовой код,invalid hex color code,
error.password.format,"Ваш пароль должен состоять не менее чем из 8 символов и содержать целое число, алфавит и специальный символ.","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,десятичные значения не допускаются,decimal values are not allowed,
error.column.data.format_spaces, Недопустимый формат даты, Invalid date format,
error.card_number,Неправильный номер кредитной карты,invalid credit card number,
error.register_for_gst_should_be_enabled,Это обязательно,This is mandatory,
error.column.uniqueness, %{column_name} уже существует,%{column_name} already exists,
error.column.base_money.range.min_max,должно быть в диапазоне %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,должно быть число,should be a number,
error.vat_number_cannot_be_blank,Номер НДС не может быть пустым,VAT Number cannot be empty,
