key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Предоставляя свой IBAN и подтверждая этот платеж, вы разрешаете %{merchant_name}, кредитору и Stripe, нашему поставщику платежных услуг, отправлять инструкции в ваш банк для дебетования вашего счета и вашему банку для дебетования вашего счета в соответствии с этими инструкциями. Вы имеете право на возмещение от вашего банка в соответствии с условиями вашего соглашения с вашим банком. Возврат средств необходимо запросить в течение 8 недель с даты списания средств с вашего счета.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Я зарегистрировался на GST,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Инструкция по прямому дебетованию,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Имя,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,условия и положения.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,"Я согласен с тем, что это право регулируется условиями моего банка, которые относятся к моей учетной записи и конкретному инициатору",I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,повторяющиеся через прямой дебет SEPA,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,При обработке вашего запроса произошла ошибка. Выберите другой способ оплаты или попробуйте еще раз.,An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,"Вам необходимо добавить способ оплаты, чтобы обновить подписку.",You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,ПУСТОЙ,EMPTY,field empty
hp_v3.portal.ach.setup,Настроить ACH,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,Экономия,Saving,Saving
