key,value,reference value,description
not_supported_for_moved_out_resource,"Операции обновления не поддерживаются, поскольку мы переместили этого клиента на сайт {0}",The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,"Извините, аутентификация не удалась. Параметр _jsapi_key отсутствует в запросе","Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,Ресурс {0} с идентификатором {1} не существует.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} не найден,{0} not found,When resource is not found.
tos_not_agreed,Согласие с условиями является обязательным для завершения оформления заказа.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,Ресурс {0} с идентификатором {1} уже существует.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,"Извините, аутентификация не удалась. Неверный ключ API","Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,"К сожалению, аутентификация не удалась. Заголовок базовой аутентификации имеет недопустимый формат.","Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Этот API не разрешен для этого клиента,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} ресурс уже присутствует,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Операция не поддерживается для клиентов с неотмененными подписками.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,Значение уже присутствует в {0},The value already present in {0},The value already present in {0}
api_disabled,Сайт не включен,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"К сожалению, параметр не поддерживается браузером.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,"{0}, указанный в параметре {1}, отсутствует",The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,"Извините, аутентификация не удалась. Заголовок авторизации для базовой аутентификации отсутствует в запросе","Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Извините, пожалуйста, включите настройку сайта управления заказами, чтобы использовать этот API.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"К сожалению, достигнут предел запросов API. Пожалуйста, попробуйте через {0} мин.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"К сожалению, достигнут предел запросов библиотеки js. Пожалуйста, попробуйте через некоторое время.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Этот URL больше не действителен. Пожалуйста свяжитесь с нами для помощи.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Операции обновления для этого ресурса больше не доступны. Свяжитесь с нами для получения помощи.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"К сожалению, удаление {0} ресурса {1} уже запланировано","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"Операция не поддерживается для клиентов, для которых уже запланирована очистка PII.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
