key,value,reference value,description
taxjar_communication_failure,"К сожалению, сейчас мы не можем связаться с TaxJar. Пожалуйста, попробуйте через некоторое время.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Операция провалена. Неверный статус документа в Аваларе.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,"Адрес организации недействителен или неполон. Пожалуйста, подтвердите и попробуйте еще раз.",The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Предоставленные учетные данные Avalara недействительны.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,"Адрес организации недействителен или неполон. Пожалуйста, подтвердите и попробуйте еще раз.",The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,Код продукта TaxJar не настроен для товара {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"К сожалению, адрес доставки не прошел проверку адреса {0}. Пожалуйста, подтвердите и попробуйте еще раз.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"К сожалению, адрес доставки недействителен или неполный. Пожалуйста, подтвердите и попробуйте еще раз.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Предоставленные учетные данные TaxJar недействительны.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,"Невозможно очистить учетные данные {0}, поскольку они уже используются. Удалите налоговую конфигурацию {0} перед очисткой учетных данных {0}.",{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,"Невозможно рассчитать ставку налога, поскольку адрес доставки / выставления счета недействителен или неполон. Пожалуйста, подтвердите и попробуйте еще раз.",Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"К сожалению, эта тема не поддерживает {0}. Пожалуйста, выберите другую тему.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,"Платежный адрес недействителен или неполный. Пожалуйста, подтвердите и попробуйте еще раз.",The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,"Балансовая единица, настроенная для вашей учетной записи Avalara AvaTax, либо неактивна, либо отсутствует.",The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,Перед удалением адреса доставки укажите действующий платежный адрес.,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,"Этот документ не может быть аннулирован / удален, так как он не был размещен в Avalara. Повторите попытку через некоторое время.",This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"К сожалению, сейчас мы не можем связаться с Аваларой. Пожалуйста, попробуйте через некоторое время.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Извините, во время обработки запроса что-то пошло не так. Пожалуйста, попробуйте через некоторое время.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Вы можете выбрать код юридического лица Avalara или номер освобождения, но не оба сразу.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Извините, во время обработки запроса что-то пошло не так. Пожалуйста, попробуйте через некоторое время.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
