key,value,reference value,description
zero_decimal_update_gateway,Использование шлюза {0} с настроенной валютой запрещено.,Using {0} gateway with the configured currency is not allowed.,Using {0} gateway with the configured currency is not allowed.
paypal_not_supported,"Выбранная валюта не поддерживается, поскольку вы настроили PayPal Express Checkout.",Selected currency is not supported since you have configured PayPal Express Checkout.,Selected currency is not supported since you have configured PayPal Express Checkout.
paypal_setup_error,Произошла ошибка при перенаправлении на PayPal.,An error occured while redirecting to PayPal.,An error occured while redirecting to PayPal.
currency_not_supported,"Валюта, настроенная в Chargebee, не поддерживается {0}.",Currency configured in Chargebee is not supported by {0}.,Currency configured in Chargebee is not supported by {0}.
invalid_credential_with_message,{0},{0},{0}
gateway_credential_missing,"Проблема с обработкой вашего платежа. Пожалуйста, попробуйте через некоторое время.",Problem in processing your payment. Please try after some time.,Problem in processing your payment. Please try after some time.
gw_credential_verification_failed,{0},{0},{0}
gateway_down_with_message,"Сбой связи произошел при попытке связаться со шлюзом. Пожалуйста, попробуйте через некоторое время. Вероятная причина: {0}",Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0}
wepay_not_supported,Шлюз wepay не поддерживается для этой операции.,wepay gateway is not supported for this operation.,wepay gateway is not supported for this operation.
delete_card_error,"Проблема возникла при удалении способа оплаты. Пожалуйста, попробуйте через некоторое время.",Problem occurred while deleting the payment method. Please try after some time.,Problem occurred while deleting the payment method. Please try after some time.
gateway_in_active_state,Платежный шлюз уже в активном состоянии,Payment gateway is already in active state,Payment gateway is already in active state
zero_decimal_update_site,Chargebee не поддерживает выбранную валюту со шлюзом {0}.,Chargebee doesn''t support the selected currency with {0} gateway.,Chargebee doesn''t support the selected currency with {0} gateway.
default_gateway_not_configured,Платежный шлюз по умолчанию не настроен.,Default payment gateway not configured.,Default payment gateway not configured.
remove_archived_gw_not_supported,"Платежный шлюз не может быть удален, так как он находится в архиве.",Payment gateway cannot be removed as it is archived.,Payment gateway cannot be removed as it is archived.
bank_account_payment_gateway_not_configured,"Эта операция не поддерживается, поскольку для банковского счета не настроен платежный шлюз.",This operation is not supported as there is no payment gateway configured for bank account.,This operation is not supported as there is no payment gateway configured for bank account.
empty_card_type_list,Принимаемые типы карт не могут быть пустыми,Accepted Card types cannot not be empty,Accepted Card types cannot not be empty
default_gateway_not_supported,Параметр по умолчанию для этого шлюза не поддерживается.,Default option is not supported for this gateway.,Default option is not supported for this gateway.
gateway_not_supported,"Выбранная валюта не поддерживается, поскольку вы настроили {0}.",Selected currency is not supported since you have configured {0}.,Selected currency is not supported since you have configured {0}.
payment_gateway_not_configured,"Эта операция не поддерживается, поскольку не настроен платежный шлюз.",This operation is not supported as there is no payment gateway configured.,This operation is not supported as there is no payment gateway configured.
gateway_not_supported_for_mcp,Chargebee не поддерживает функцию мультивалютности для шлюза {0}.,Chargebee doesn''t support multicurrency feature for {0} gateway.,Chargebee doesn''t support multicurrency feature for {0} gateway.
gateway_configuration_failed,{0}.,{0}.,{0}.
forbidden_to_remove,"Платежный шлюз нельзя удалить, так как есть активные подписки.",Payment gateway cannot be removed as there are active subscriptions.,Payment gateway cannot be removed as there are active subscriptions.
gateway_down,[object Object],Communication failure occurred when trying to contact the gateway. Please try after some time,Communication failure occurred when trying to contact the gateway. Please try after some time
gocardless_redirect_error,Произошла ошибка при перенаправлении на GoCardless.,An error occured while redirecting to GoCardless.,An error occured while redirecting to GoCardless.
invalid_credential,"Пожалуйста, проверьте отправленные учетные данные. Нет доступа к шлюзу.",Please check the submitted credentials. Not able to access the gateway.,Please check the submitted credentials. Not able to access the gateway.
gateway_already_configured,Этот шлюз уже настроен для сайта. Вероятная причина: {0},This gateway is already configured for the site. Probable reason: {0},This gateway is already configured for the site. Probable reason: {0}
