key,value,reference value,description
sub_start_outside_plan_term,Дата начала подписки не может быть раньше расчетного периода.,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,не может быть позже даты cancelled_at ({0}).,cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,"Проблема со скидками. Пожалуйста, свяжитесь со службой поддержки для получения более подробной информации.",Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,Окончание пробного периода не может быть раньше даты начала,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,"Подписку нельзя обновить, так как она запланирована для отмены в конце текущего срока.",Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,Подписку можно обновить только в пробном и активном состояниях.,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,не может быть пустым для подписки {0},cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,"Невозможно запланировать отмену, если подписка приостановлена ​​или запланирована приостановка.",Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,{0} является обязательным для использования {1} прямого дебета через {2},{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,Должен присутствовать хотя бы один разовый элемент добавления или начисления.,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,Подход с использованием временного токена карты не поддерживается для этого шлюза,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
non_compliant_eu_customer,"Операция завершилась неудачно, поскольку страна ес, указанная клиентом в платежном адресе, не может быть проверена по IP-адресу или номеру ячейки карты.",Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,"Невозможно возобновить подписку, так как у вас нет активного способа оплаты.",Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
no_creditcard_for_create,"Невозможно создать подписку, так как в файле нет действующей карты",Cannot create the subscription as there is no valid card on file,Cannot create the subscription as there is no valid card on file
invalid_state_for_cancel,"Невозможно отменить подписку, которая уже отменена или срок действия истек",Cannot cancel a subscription that is Cancelled or Expired already,Cannot cancel a subscription that is Cancelled or Expired already
