key,value,reference value,description
invalid_column,Значение {1} в столбце ({0}) недопустимо.,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,Столбец {0} недействителен.,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,"Чтобы выбрать это поле, вам необходимо добавить страну для выставления счетов.",You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,Страна выставления счета необходима для подтверждения номера плательщика НДС.,Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,"Чтобы выбрать это поле, необходимо включить налог для Австралии.",You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,Файл содержит недопустимые значения,File contains invalid values,File contains invalid values
unable_to_validate_abn,"Невозможно обработать ABN, так как сервер поиска ABN не работает.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,Заголовок отсутствует или неправильно отформатирован.,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,Файл не содержит налоговых правил,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,Неподдерживаемый формат файла. Разрешены только файлы CSV,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,Этот налоговый профиль уже сопоставлен с типом продукта {0}. Вы можете сопоставить с профилем только один тип продукта.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,Значение для ({0}) недействительно,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,Файл конфигурации налога не найден,Tax configuration file not found,Tax configuration file not found
duplicate_column,Столбец ({0}) встречается в файле более одного раза.,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,Вам необходимо ввести действующий GSTIN.,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,Вам необходимо ввести действующий ABN.,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,Номер плательщика НДС не применим для этой страны,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,не удается настроить значения zip - {0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,недействительный почтовый индекс / почтовый индекс,invalid zip/postal code,invalid zip/postal code
org_address_not_config,"Тип цены с включенным налогом нельзя настроить, так как не удалось определить ставку налога для продавца.",Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,Этот вариант применим только для Австралии.,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,Вам необходимо ввести действующий номер плательщика НДС.,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,"Невозможно подтвердить номер плательщика НДС, так как VIES простаивает.",Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,Подстановочные знаки нельзя использовать вместе с почтовыми индексами ZIP + 4 - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
