key,value,reference value,description
sort_param_order_invalid,Указанный порядок сортировки {0} недействителен,The specified sort order {0} is invalid,The specified sort order {0} is invalid
updgrade_api_err_msg,{0},{0},{0}
wrong_value,неправильное значение,wrong value,wrong value
found_card_pattern,{0},{0},{0}
upload_error,Ошибка при загрузке файла,Error while uploading file,Error while uploading file
ILLEGAL_DOMAIN,Домен {0} не разрешен,{0} domain is not allowed,{0} domain is not allowed
param_fixed_size_error,Размер должен быть {0},The size should be of {0},The size should be of {0}
mcp_api_v1_err,"Требуется обновление до версии API 2, так как MCP включен",Upgrade to API V2 is needed as MCP is enabled,Upgrade to API V2 is needed as MCP is enabled
multipart_post,"Невозможно установить multipart для другого метода, кроме post",Cannot set multipart for other than post method,Cannot set multipart for other than post method
ILLEGAL_DNS,Домен преобразуется в недопустимый диапазон internalIPaddress.,The domain resolves to internal ip address range which is not allowed.,The domain resolves to internal ip address range which is not allowed.
param_not_supported,{0},{0},{0}
mustache_not_allowed,Теги усов не разрешены,mustache tags are not allowed,mustache tags are not allowed
param_value_lesser_error,Это должно быть как минимум {0},It should be atleast {0},It should be atleast {0}
param_exceeded_error,Оно не должно превышать {0},It should not be more than {0},It should not be more than {0}
not_an_image,Загруженный файл должен быть изображением.,Uploaded file should be an image.,Uploaded file should be an image.
UNKNOWN_HOST,Не удалось разрешить домен {0},Unable to resolve {0} domain ,Unable to resolve {0} domain 
EMPTY_SCHEME,URL-адрес должен начинаться с протокола http: // или https: //.,URL should start with http:// or https:// protocol,URL should start with http:// or https:// protocol
validate.mul_sub_entry,У клиента {0} уже есть подписка.,The customer {0} already has a subscription.,The customer {0} already has a subscription.
file_size_limit_exceeded,Размер загружаемого файла не может превышать {0},Upload file size cannot exceed {0},Upload file size cannot exceed {0}
invalid_range,первое значение {0} не должно быть больше второго значения {1},first value {0} should not be more than second value {1},first value {0} should not be more than second value {1}
timestamp_future_only,Отметка времени Unix должна быть в будущем,Unix timestamp should be in future,Unix timestamp should be in future
param_wrong_value,"Значение {0}, указанное для этого параметра, неверно",Value {0} specified for this param is incorrect,The returned parameter has incorrect value
timestamp_past_only,Отметка времени Unix должна быть в прошлом,Unix timestamp should be in past,Unix timestamp should be in past
param_lesser_error,Это должно быть как минимум {0},It should be atleast {0},It should be atleast {0}
param_invalid,Значение {0} недействительно,The value {0} is invalid,The value {0} is invalid
should_be_valid_date,неправильный формат даты,wrong date format,wrong date format
UNSUPPORTED_SCHEME,{0} не поддерживается. Поддерживаются только http и https.,{0} is not supported. Only http and https are supported,{0} is not supported. Only http and https are supported
image_scrambled,Загруженное изображение зашифровано.,Uploaded image is scrambled.,Uploaded image is scrambled.
charge_not_more_than_zero,Сумма списания должна быть больше нуля.,Amount to charge should be more than zero,Amount to charge should be more than zero
param_cannot_exceed,{0},{0},{0}
param_should_not_be_blank,не может быть пустым,cannot be blank,cannot be blank
not_in_allowed_values,не в допустимых значениях,not in allowed values,not in allowed values
size_limit_exceeded,{0} не должно превышать {1} симв.,{0} should not be more than {1} characters,{0} should not be more than {1} characters
email_cannot_be_empty,Поле электронной почты не может быть пустым,Email field cannot be empty,Email field cannot be empty
email_not_in_allowed_size_range,Размер идентификатора электронной почты не должен превышать {0},Email id size should not be more than {0},Email id size should not be more than {0}
param_size_exceeded_error,Размер не должен превышать {0},The size should not be more than {0},The size should not be more than {0}
param_should_be_blank,должно быть пустым,should be blank,should be blank
param_required,не может быть пустым,cannot be blank,The parameter is not sent or is empty. Incase you are getting the  parameter's value from the user then it is better to do validation  for mandatory fields on your end rather than passing it to ChargeBee and then handling the error.
resource_not_unique,Ресурс {0} уже существует,{0} resource already exists,{0} resource already exists
duplicate_addon_entry,Повторяющаяся запись надстройки не допускается.,Duplicate addon entry is not allowed.,Duplicate addon entry is not allowed.
filter_param_operator_invalid,Указанный оператор фильтра {0} недействителен,The specified filter operator {0} is invalid,The specified filter operator {0} is invalid
ILLEGAL_DOMAIN_SUFFIX,Суффикс домена {0} не допускается,{0} domain suffix is not allowed,{0} domain suffix is not allowed
param_invalid_msg,{0},{0},{0}
validate.param_not_unique,Значение {0} уже присутствует.,The value {0} is already present.,The value {0} is already present.
UNSUPPORTED_PORT," Разрешены только порты [443, 80, 8443, 8080, 9001]."," Only [443, 80, 8443, 8080, 9001] ports are allowed"," Only [443, 80, 8443, 8080, 9001] ports are allowed"
timestamp_future_only_or_zero,"Временная метка Unix должна быть в будущем или нулевая, чтобы указывать на немедленное",Unix timestamp should be in future or zero to indicate immediate,Unix timestamp should be in future or zero to indicate immediate
params_required,{0},{0},Parameters for the resource is required.
wrong_format_pattern,Должен быть в формате {0},Should be in {0} format,Should be in {0} format
param_size_lesser_error,Размер должен быть не менее {0},The size should be atleast {0},The size should be atleast {0}
currency_mismatched,{0},{0},{0}
ip_address_not_supported,Нет поддержки для IPaddress,No support for Ip address,No support for Ip address
should_be_valid_input,должен быть действительным вводом,should be a valid input,should be a valid input
no_change_for_i18n,Пакет пуст,Pack is empty,Pack is empty
NO_EMPTY_SCHEME,"Укажите домен без протокола (http, https)","Provide the domain without the protocol (http, https)","Provide the domain without the protocol (http, https)"
wrong_format,неправильный формат,wrong format,wrong format
emoji_chars_not_allowed,Значение {0} недействительно,The value {0} is invalid,The value {0} is invalid
amount_overflow,Сумма в обработке {0},Amount that is being processed {0},Amount that is being processed {0}
param_should_not_be_sent,{0},{0},The parameter should not be sent. Should occur only during development phase.
