key,value,reference value,description
cbjs_grp.bank,банк,Bank,Bank
cbjs_grp.select_bank,Выбрать банк,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Получение списка поддерживаемых банков,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Добавьте данные своей учетной записи,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Редактирование реквизитов аккаунта,Editing account details,Editing account details
inapp_checkout.customer.update,Обновлять,Update,Update
inapp_checkout.customer.next,Следующий,Next,Next
inapp_checkout.billing_address.header,Добавьте свой платежный адрес,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Редактирование платежного адреса,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Обновлять,Update,Update
inapp_checkout.billing_address.next,Следующий,Next,Next
inapp_checkout.shipping_address.header,Добавьте свой адрес доставки,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Редактирование адреса доставки,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Обновлять,Update,Update
inapp_checkout.shipping_address.next,Следующий,Next,Next
inapp_checkout.choose_sa.header,Выберите адрес доставки,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Отправить на мой платежный адрес,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Добавить новое,Add New,Add New
inapp_checkout.payment_method.choose.add,Добавить способ оплаты,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Добавьте свои платежные реквизиты,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Редактирование платежных реквизитов,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Выберите способ оплаты,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Выберите другой способ оплаты,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Обновлять,Update,Update
inapp_checkout.payment_method.next,Следующий,Next,Next
inapp_checkout.subscription.header,Добавьте сведения о подписке,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Добавьте детали вашей покупки,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Редактирование сведений о подписке,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Редактирование деталей покупки,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Обновлять,Update,Update
inapp_checkout.invoice.update,Обновлять,Update,Update
inapp_checkout.subscription.next,Следующий,Next,Next
inapp_checkout.invoice.next,Следующий,Next,Next
inapp_checkout.review.header,Завершите ваш заказ,Complete your order,Complete your order
inapp_checkout.pay_review.header,Завершите ваш заказ,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Оплатите %{amount} и подпишитесь,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Подписаться,Subscribe,Subscribe
inapp_checkout.review.order.header,Итог заказа,Order summary,Order summary
inapp_checkout.review.account.header,Счет,Account,Account
inapp_checkout.review.billing.header,Биллинг,Billing,Billing
inapp_checkout.review.shipping.header,Перевозки,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Выставление счетов и доставка,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Детали подписки,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Детали покупки,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Оплата,Payment,Payment
inapp_checkout.review.more,Подробности обзора,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Выберите адрес доставки,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Выберите способ оплаты,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Применять,Apply,Apply
inapp_checkout.coupon.label,Применить купон,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Введите код купона,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Изменить заказ,Edit order,Edit order
inapp_checkout.cart.header,Твоя очередь,Your order,Your order
inapp_checkout.cart.next,Перейти к оформлению заказа,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Удалять,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Рекомендуемые дополнения,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Открытка,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,ЗАКРЫТЬ,CLOSE,CLOSE
inapp_checkout.otp.enter,Введите шестизначный одноразовый пароль,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Введите ваш пароль,Enter your password,Enter your password
inapp_checkout.otp.resend,Отправить одноразовый пароль еще раз,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Вход через одноразовый пароль,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Вместо этого введите пароль,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,Новый одноразовый пароль высылается на ваш адрес электронной почты,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,У вас уже есть подписка на нас,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Продолжить как гость,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,"Введите адрес электронной почты, чтобы продолжить",Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Следующий,Next,Next
inapp_checkout.modal_button.confirm,Подтверждать,Confirm,Confirm
inapp_checkout.modal_button.cancel,Отмена,Cancel,Cancel
inapp_checkout.po_number.label,Номер заказа,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Вернуться к оплате,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Перейти к просмотру,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Введите IBAN,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Введите реквизиты местного банка,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Введите ваше имя,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Введите название компании,Enter company name,Enter company name
inapp_checkout.card.billing_address,Использовать мой платежный адрес в качестве адреса карты,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Использовать мой адрес доставки в качестве адреса карты,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,Смотрите подробности,See Details,See Details
inapp_checkout.item.breakdown.hide,Скрыть детали,Hide Details,Hide Details
inapp_checkout.cart.trial.info,С вас будет списана оплата после пробного периода %{plan_trial_period}.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,С вас будет списана оплата после пробного периода %{plan_trial_period}.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Заплатить сейчас,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Следующий платеж %{date},Next charge on %{date},Next charge on %{date}
inapp_checkout.order_summary.charge_now.label,Платный сейчас,Chargeable now,Chargeable now
inapp_checkout.order_summary.next_charge.label,Начисления на %{date},Charges on %{date},Charges on %{date}
inapp_checkout.order.edit.link,Изменить заказ,Edit order,Edit order
