key,value,reference value,description
error.column.base_money.numeric,by malo byť číslo,should be a number,
error.invalid_expiry_info,neplatné informácie o uplynutí platnosti,invalid expiry info,
error.column.number.allow_negative,by nemal byť negatívny,should not be negative,
error.column.email.main, by mal byť platný e-mail, should be a valid email,
error.column.number.range.min_max,by malo byť v rozsahu %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,nesmie prekročiť %{max},should not exceed %{max},
error.column.number.range.max,nesmie prekročiť %{max},should not exceed %{max},
error.column.string.length.min, by mal mať najmenej %{min} znakov, should have atleast %{min} characters,
error.atleast_today,Dnes by to malo byť minimálne,Should be atleast today,
error.column.base_money.range.min,by malo byť minimálne %{min},should be atleast %{min},
error.invalid_cvv,neplatný CVV,invalid CVV,
error.column.base_money.main, neplatný formát meny, invalid currency format,
error.column.number.range.min,by malo byť minimálne %{min},should be atleast %{min},
error.column.string.length.max, by nemal mať viac ako %{max} znakov, should not have more than %{max} characters,
error.presence,nemôže byť prázdne,cannot be blank,
error.wrong_format,Mali by byť vo formáte %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, by mal mať %{min} znakov, should be of %{min} characters,
error.date_format,neplatný formát dátumu,invalid date format,
error.column.string.length.min_max, by mal mať medzi %{min} a %{max} znakmi, should be between %{min} and %{max} characters,
error.column.color.main,neplatný hexadecimálny kód farby,invalid hex color code,
error.password.format,"Vaše heslo musí mať najmenej 8 znakov a musí obsahovať celé číslo, abecedu a špeciálny znak","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,desatinné hodnoty nie sú povolené,decimal values are not allowed,
error.column.data.format_spaces, Neplatný formát dátumu, Invalid date format,
error.card_number,Nesprávne číslo kreditnej karty,invalid credit card number,
error.register_for_gst_should_be_enabled,Toto je povinné,This is mandatory,
error.column.uniqueness, %{column_name} už existuje,%{column_name} already exists,
error.column.base_money.range.min_max,by malo byť v rozsahu %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,by malo byť číslo,should be a number,
error.vat_number_cannot_be_blank,DIČ nemôže byť prázdne,VAT Number cannot be empty,
